Nodal Strains (computed using Matlab)
     NODE    EPELX          EPELY          EPELZ          EPELXY         EPELYZ         EPELXZ
      64   -0.1687969474  -0.0041280060  -0.0142710492   0.0027867783  -0.0018625416  -0.0026917653
      65   -0.1652527500  -0.0118006786  -0.0130349195   0.0056905451  -0.0045162906  -0.0042503799
      66   -0.1639399165  -0.0155840225  -0.0076743484   0.0089453119   0.0005268714  -0.0050531931
      67   -0.1647407120  -0.0122447960  -0.0075019903   0.0056793819   0.0105802521  -0.0047806248
      68   -0.1686996550  -0.0007352908  -0.0115646802  -0.0012494714   0.0173054052  -0.0052706148
      69   -0.1776146595   0.0012389922  -0.0206885840  -0.0162840860  -0.0246922944  -0.0068603928
      70   -0.1758012251  -0.0012390107  -0.0163666253  -0.0248848228  -0.0058173642  -0.0048026589
      71   -0.1777302665  -0.0007174728  -0.0170559462  -0.0323082899   0.0020163920  -0.0043912596
      72   -0.1826030541   0.0037311805  -0.0190485455  -0.0340063874   0.0030158883  -0.0025381239
      73   -0.1904488286   0.0064664753  -0.0205898861  -0.0352214301   0.0050632156   0.0019135992
      74   -0.1981453254   0.0095462955  -0.0213088117  -0.0347811491   0.0018847684   0.0048003173
      75   -0.2034719315   0.0141989723  -0.0190534315  -0.0311676166  -0.0003032454   0.0061113645
      76   -0.2088292850   0.0171975758  -0.0171782623  -0.0237030592   0.0020891004   0.0044227556
      77   -0.2120971446   0.0184709556  -0.0188784490  -0.0144049400   0.0042663483   0.0047742783
      78   -0.2103141091   0.0171781553  -0.0222872839  -0.0034395533   0.0025168728   0.0090422687
      79   -0.2051521261   0.0150633320  -0.0235384468   0.0060832022  -0.0018259040   0.0100113645
      80   -0.1983849894   0.0074247016  -0.0222039532   0.0108131597  -0.0052703261   0.0055845064
      81   -0.1909273393  -0.0019189077  -0.0188314727   0.0107118745  -0.0057868572  -0.0000192746
      82   -0.1839154923  -0.0087087664  -0.0135104101   0.0110465796  -0.0050626995  -0.0023018393
      83   -0.1801108509  -0.0147711690  -0.0093726424   0.0108067260   0.0022611858   0.0004212457
      84   -0.1801392233  -0.0113440577  -0.0117167523   0.0063424705   0.0127703778   0.0031676445
      85   -0.1838302993   0.0002872082  -0.0190199617  -0.0005638743   0.0239079591   0.0065966251
      86   -0.1821167738   0.0030049580  -0.0183970896  -0.0085817428  -0.0241098061   0.0017773287
      87   -0.1801180457  -0.0007649403  -0.0170454366  -0.0240074313  -0.0080830560   0.0024623269
      88   -0.1803102472  -0.0010649010  -0.0176092879  -0.0332465155   0.0022883195   0.0018164839
      89   -0.1829229109   0.0019138941  -0.0205968391  -0.0377584020   0.0040368035   0.0011285214
      90   -0.1893713080   0.0053458860  -0.0238467956  -0.0422764616   0.0052230916  -0.0003930831
      91   -0.1971275384   0.0086158049  -0.0278646360  -0.0395733530   0.0051239022   0.0028229374
      92   -0.2042321919   0.0136474045  -0.0283186553  -0.0359086267   0.0008343492   0.0060751261
      93   -0.2096610217   0.0187351953  -0.0264538137  -0.0298135595   0.0031309011   0.0088211694
      94   -0.2124671703   0.0195488183  -0.0300069169  -0.0170122083   0.0067198331   0.0118032450
      95   -0.2125203762   0.0189711567  -0.0364467593  -0.0001621165   0.0038918468   0.0114737645
      96   -0.2089819478   0.0158279752  -0.0373293567   0.0144145023  -0.0046774653   0.0091606296
      97   -0.2028492054   0.0082943488  -0.0309740379   0.0207510038  -0.0088729679   0.0065077828
      98   -0.1947106824   0.0005584564  -0.0214130609   0.0229677331  -0.0096239144   0.0041538522
      99   -0.1857814761  -0.0069880708  -0.0142826073   0.0213237830  -0.0045251971   0.0036636132
     100   -0.1791280994  -0.0141994519  -0.0107997971   0.0154893581   0.0033623056   0.0038536134
     101   -0.1759605478  -0.0105453165  -0.0141764088   0.0060916515   0.0148538361   0.0043064592
     102   -0.1771031053   0.0001512861  -0.0218383167  -0.0047995600   0.0273225212   0.0046433599
     103   -0.1709622508   0.0022920219  -0.0202428138  -0.0065051150  -0.0329857272   0.0068888356
     104   -0.1674602653  -0.0007208945  -0.0186129965  -0.0211386261  -0.0108352557   0.0051271964
     105   -0.1661523654  -0.0012779544  -0.0206252541  -0.0314618454   0.0029478139   0.0063174428
     106   -0.1681504739   0.0010594321  -0.0232983860  -0.0405493204  -0.0007784921   0.0046116399
     107   -0.1724246981   0.0029936638  -0.0238355415  -0.0464671645   0.0034933186   0.0041103600
     108   -0.1768738479   0.0069173490  -0.0299133087  -0.0462338037   0.0086679084   0.0065520396
     109   -0.1824443861   0.0130785083  -0.0321951698  -0.0426465871   0.0026916528   0.0094033892
     110   -0.1879412965   0.0185070357  -0.0278744979  -0.0343295873   0.0003830883   0.0072621749
     111   -0.1921981467   0.0212737232  -0.0268541525  -0.0202108387   0.0021525646  -0.0008105096
     112   -0.1930779600   0.0215978657  -0.0300054382   0.0002297489   0.0024681222  -0.0063853614
     113   -0.1917249244   0.0181829888  -0.0333330610   0.0169771963  -0.0000515456  -0.0036010504
     114   -0.1883943273   0.0114702644  -0.0334871415   0.0295745220  -0.0055744533   0.0051332106
