Principal Nodal Strains (computed using Matlab)
    NODE       EPEL1          EPEL2          EPEL3          EPELINT        EPELEQV
      32   -0.0045977644  -0.0179512676  -0.0772689918   0.0726712274   0.0515385067
      33   -0.0031893362  -0.0117072988  -0.0810998804   0.0779105442   0.0569385087
      34    0.0015487815  -0.0071350397  -0.0893733935   0.0909221751   0.0668509724
      35    0.0029165986  -0.0091678486  -0.1203383353   0.1232549338   0.0905223005
      36   -0.0008893442  -0.0092427745  -0.1196949560   0.1188056118   0.0883514994
      37    0.0007968955  -0.0110804643  -0.1242226136   0.1250195091   0.0919417350
      38    0.0078455260  -0.0142395181  -0.1304355529   0.1382810788   0.0989754085
      39    0.0114894847  -0.0133428586  -0.1346982717   0.1461877564   0.1042224545
      40    0.0118688871  -0.0087621844  -0.1395481813   0.1514170684   0.1094063415
      41    0.0135310015  -0.0072553533  -0.1443770968   0.1579080983   0.1143148002
      42    0.0156428163  -0.0079914580  -0.1469210581   0.1625638744   0.1170230165
      43    0.0179512626  -0.0084207385  -0.1481105692   0.1660618318   0.1189018580
      44    0.0189256931  -0.0090634918  -0.1476559549   0.1665816481   0.1188464162
      45    0.0147718119  -0.0088883606  -0.1436149074   0.1583867193   0.1138323783
      46    0.0063597619  -0.0082913022  -0.1370311654   0.1433909273   0.1051197740
      47   -0.0055912884  -0.0102646209  -0.1320861838   0.1264948954   0.0955570585
      48   -0.0094028704  -0.0148958161  -0.1297233874   0.1203205170   0.0905155686
      49   -0.0064728608  -0.0168821026  -0.1296418561   0.1231689953   0.0910063977
      50   -0.0029659188  -0.0135356850  -0.1317769527   0.1288110340   0.0952806503
      51    0.0021156881  -0.0104916203  -0.1372191424   0.1393348304   0.1026757463
      52    0.0052312326  -0.0205352258  -0.1533453502   0.1585765828   0.1133786817
      53   -0.0007072451  -0.0158442843  -0.1551696624   0.1544624172   0.1134443654
      54    0.0009263530  -0.0163784709  -0.1594245300   0.1603508831   0.1172591800
      55    0.0066924632  -0.0183563466  -0.1656299083   0.1723223715   0.1240489793
      56    0.0090930419  -0.0161914016  -0.1727295059   0.1818225478   0.1312242311
      57    0.0114659611  -0.0131489967  -0.1795209576   0.1909869187   0.1384204305
      58    0.0142495545  -0.0104368716  -0.1841668976   0.1984164520   0.1440749209
      59    0.0160165307  -0.0098701836  -0.1865833995   0.2025999302   0.1469053698
      60    0.0181398674  -0.0100303214  -0.1879512207   0.2060910881   0.1488843546
      61    0.0177452453  -0.0105769013  -0.1868568916   0.2046021369   0.1477031380
      62    0.0146961112  -0.0108781308  -0.1820092376   0.1967053488   0.1424976817
      63    0.0068795777  -0.0116974378  -0.1750975236   0.1819771013   0.1334126035
      64   -0.0040293669  -0.0143463154  -0.1688203204   0.1647909535   0.1229864042
      65   -0.0099956225  -0.0147587424  -0.1653339833   0.1553383608   0.1177018558
      66   -0.0076288411  -0.0154537847  -0.1641156617   0.1564868205   0.1174805894
      67   -0.0040747249  -0.0155797995  -0.1648329739   0.1607582490   0.1194812400
      68    0.0040765403  -0.0163309541  -0.1687452122   0.1728217525   0.1258273567
      69    0.0069844922  -0.0259626704  -0.1780860731   0.1850705652   0.1315341422
      70    0.0000976285  -0.0167786558  -0.1767258337   0.1768234622   0.1300141612
      71    0.0008255839  -0.0171097694  -0.1792195001   0.1800450840   0.1321392868
      72    0.0053770010  -0.0191478084  -0.1841496117   0.1895266127   0.1373323596
      73    0.0082351615  -0.0207879141  -0.1920194869   0.2002546484   0.1441815451
      74    0.0110093566  -0.0212915680  -0.1996256303   0.2106349869   0.1511430660
      75    0.0153129628  -0.0190076774  -0.2046316762   0.2199446390   0.1576546104
      76    0.0178418899  -0.0171762207  -0.2094756407   0.2273175307   0.1630683913
      77    0.0188081527  -0.0189597835  -0.2123530071   0.2311611598   0.1652171225
      78    0.0172291690  -0.0222162013  -0.2104362054   0.2276653744   0.1620999672
      79    0.0151238025  -0.0234184128  -0.2053326305   0.2204564331   0.1568734121
      80    0.0077856196  -0.0223765389  -0.1985733218   0.2063589413   0.1485024603
      81   -0.0012902772  -0.0193084232  -0.1910790193   0.1897887421   0.1395783569
      82   -0.0074473957  -0.0145911136  -0.1840961596   0.1766487639   0.1332211081
      83   -0.0091357117  -0.0148315276  -0.1802874231   0.1711517113   0.1295200562
      84   -0.0050772686  -0.0179112504  -0.1802115143   0.1751342457   0.1300638109
      85    0.0060060148  -0.0246713057  -0.1838977618   0.1899037766   0.1358270815
      86    0.0085192746  -0.0238097264  -0.1822184536   0.1907377282   0.1360031436
      87    0.0009745732  -0.0179795102  -0.1809234856   0.1818980588   0.1332312358
      88    0.0005252410  -0.0176646193  -0.1818450577   0.1823702987   0.1338384318
      89    0.0039774826  -0.0207482590  -0.1848350795   0.1888125621   0.1367263394
      90    0.0078305017  -0.0240630569  -0.1916396624   0.1994701641   0.1427617125
      91    0.0106530953  -0.0280004181  -0.1990290466   0.2096821418   0.1486741070
      92    0.0151176629  -0.0282664830  -0.2057546225   0.2208722854   0.1559175839
      93    0.0197393299  -0.0263791083  -0.2107398616   0.2304791915   0.1624848244
      94    0.0200580179  -0.0300065329  -0.2129767539   0.2330347718   0.1634409633
      95    0.0190394634  -0.0363282534  -0.2127071888   0.2317466523   0.1612466446
      96    0.0161487179  -0.0372934028  -0.2093386444   0.2254873623   0.1569873322
      97    0.0092572036  -0.0313585265  -0.2034275715   0.2126847751   0.1504354698
      98    0.0021625182  -0.0223121800  -0.1954156250   0.1975781432   0.1434991044
      99   -0.0058077309  -0.0148070155  -0.1864374077   0.1806296768   0.1356172158
     100   -0.0099699247  -0.0146462489  -0.1795111747   0.1695412500   0.1286554815
     101   -0.0046342476  -0.0200062477  -0.1760417780   0.1714075304   0.1263552878
     102    0.0066999649  -0.0283137971  -0.1771763038   0.1838762687   0.1300847375
     103    0.0111093036  -0.0289332395  -0.1710891068   0.1821984105   0.1275717186
     104    0.0014909655  -0.0201246459  -0.1681604759   0.1696514414   0.1230329888
     105    0.0002752355  -0.0206176520  -0.1677131574   0.1679883929   0.1219827573
     106    0.0034709706  -0.0232803360  -0.1705800624   0.1740510330   0.1248746163
     107    0.0060906597  -0.0238737050  -0.1754835306   0.1815741903   0.1296930707
     108    0.0101603124  -0.0301977176  -0.1798324025   0.1899927149   0.1333640092
     109    0.0153916193  -0.0320577538  -0.1848949131   0.2002865324   0.1394466403
     110    0.0199246857  -0.0277929807  -0.1894404637   0.2093651494   0.1461949844
     111    0.0217756511  -0.0268780173  -0.1926762099   0.2144518610   0.1497985045
     112    0.0216273676  -0.0299723668  -0.1931405332   0.2147679008   0.1493691214
     113    0.0185258918  -0.0333128838  -0.1920880046   0.2106138963   0.1462095147
     114    0.0127038926  -0.0335836605  -0.1895314364   0.2022353290   0.1411715297
     115    0.0056872190  -0.0282725761  -0.1827535889   0.1884408079   0.1338191718
     116   -0.0061455405  -0.0205046574  -0.1724532715   0.1663077310   0.1227794807
     117   -0.0128468028  -0.0156873063  -0.1628577607   0.1500109580   0.1143162056
     118   -0.0044106979  -0.0216631113  -0.1581084218   0.1536977239   0.1121837552
     119    0.0077804344  -0.0296707418  -0.1575733731   0.1653538075   0.1155173024
     120    0.0131190694  -0.0339704023  -0.1464645645   0.1595836339   0.1092460595
     121   -0.0002626385  -0.0225613201  -0.1436371897   0.1433745511   0.1027907326
     122   -0.0014092722  -0.0247174589  -0.1440996557   0.1426903834   0.1019860850
     123    0.0020240255  -0.0285093662  -0.1461080859   0.1481321114   0.1042085831
     124    0.0047466231  -0.0261841667  -0.1469618436   0.1517084667   0.1068087655
     125    0.0100573630  -0.0260488925  -0.1467636524   0.1568210154   0.1094209420
     126    0.0166457846  -0.0180966738  -0.1470139296   0.1636597142   0.1148850716
     127    0.0201282430  -0.0041350209  -0.1487902755   0.1689185185   0.1216835971
     128    0.0212631047   0.0077191294  -0.1504300088   0.1716931135   0.1271828512
     129    0.0232019777   0.0116816281  -0.1540285481   0.1772305257   0.1321233512
     130    0.0235870994   0.0031126240  -0.1588451846   0.1824322841   0.1331581280
     131    0.0197952044  -0.0112060186  -0.1582778455   0.1780730499   0.1267495424
     132    0.0094152014  -0.0228382414  -0.1518621910   0.1612773924   0.1137029524
     133   -0.0080408881  -0.0256945164  -0.1439066855   0.1358657973   0.0984274015
     134   -0.0172272210  -0.0197878521  -0.1372970561   0.1200698351   0.0913924743
     135   -0.0045591858  -0.0284917375  -0.1331978368   0.1286386510   0.0911530944
