Principal Nodal Strains (computed using Matlab)
    NODE       EPEL1          EPEL2          EPEL3          EPELINT        EPELEQV
      79    0.0006775478  -0.0001077980  -0.0012702516   0.0019477995   0.0013056533
      80    0.0004541321  -0.0000039550  -0.0010012031   0.0014553352   0.0009914350
      81    0.0002272726  -0.0004325601  -0.0006231113   0.0008503839   0.0005945616
      82    0.0002408463  -0.0001539697  -0.0009684791   0.0012093254   0.0008216330
      83    0.0006068139  -0.0003157594  -0.0011143232   0.0017211371   0.0011475673
      84    0.0003588407  -0.0004968806  -0.0009174182   0.0012762589   0.0008665287
      85    0.0001244012  -0.0003616402  -0.0007964735   0.0009208747   0.0006137783
      86    0.0004012842  -0.0006122775  -0.0007533444   0.0011546286   0.0008391977
      87    0.0014634934  -0.0006112543  -0.0008187778   0.0022822712   0.0016814693
      88    0.0026656905  -0.0003574733  -0.0007974298   0.0034631204   0.0025118821
      89    0.0008774338  -0.0003826640  -0.0014008946   0.0022783284   0.0015206099
      90    0.0007350399  -0.0000462277  -0.0005380691   0.0012731090   0.0008553856
      91    0.0006058065  -0.0001366429  -0.0005994611   0.0012052676   0.0008100883
      92    0.0003193449  -0.0002741235  -0.0008230541   0.0011423990   0.0007612286
      93    0.0001443881  -0.0002812447  -0.0006366638   0.0007810519   0.0005210163
      94    0.0004251972  -0.0005265117  -0.0011184092   0.0015436065   0.0010375799
      95    0.0004150135  -0.0006603919  -0.0013766704   0.0017916839   0.0012015378
      96   -0.0001340478  -0.0003376932  -0.0012648691   0.0011308213   0.0008030790
      97    0.0008133564  -0.0006872752  -0.0013111067   0.0021244631   0.0014548841
      98    0.0019202251  -0.0005277536  -0.0014460978   0.0033663229   0.0023184420
      99    0.0025915426  -0.0001431471  -0.0018376774   0.0044292200   0.0029776261
     100    0.0023290324   0.0005402185  -0.0013341239   0.0036631563   0.0024405190
     101    0.0015053707   0.0003322934  -0.0007583202   0.0022636910   0.0015083442
     102    0.0008431646  -0.0000240340  -0.0007527446   0.0015959092   0.0010644857
     103    0.0000689144  -0.0003318382  -0.0011431250   0.0012120394   0.0008227225
     104    0.0000158966  -0.0004294745  -0.0010293095   0.0010452061   0.0006988184
     105    0.0004460350  -0.0000025512  -0.0009669870   0.0014130220   0.0009619994
     106    0.0003080527  -0.0004973461  -0.0009720738   0.0012801266   0.0008622178
     107    0.0000400113  -0.0004791949  -0.0009524681   0.0009924794   0.0006613994
     108    0.0013208728  -0.0005892427  -0.0012253242   0.0025461970   0.0017655698
     109    0.0018164023  -0.0004566409  -0.0015272033   0.0033436056   0.0022749294
     110    0.0021857024   0.0001734220  -0.0023828562   0.0045685585   0.0030506356
     111    0.0039466331  -0.0002874258  -0.0035787268   0.0075253599   0.0050262906
     112    0.0024037768   0.0006286235  -0.0013206973   0.0037244742   0.0024820497
     113    0.0018694481  -0.0001021972  -0.0011368438   0.0030062919   0.0020348785
     114    0.0000236008  -0.0006794255  -0.0018427016   0.0018663023   0.0012558198
     115    0.0002248125  -0.0006799898  -0.0010339741   0.0012587866   0.0008649171
     116    0.0006189548   0.0003145269  -0.0002074194   0.0008263742   0.0005568292
     117    0.0007277577   0.0001046147  -0.0012485251   0.0019762828   0.0013461526
     118    0.0009915214  -0.0004343636  -0.0008593834   0.0018509048   0.0012917167
     119    0.0014184964   0.0002468178  -0.0014286958   0.0028471922   0.0019065971
     120    0.0017390383   0.0001258219  -0.0010706168   0.0028096551   0.0018785691
     121    0.0045704050   0.0010906360  -0.0022136784   0.0067840833   0.0045198796
     122    0.0052040109   0.0013642213  -0.0009126961   0.0061167070   0.0041188857
     123    0.0031819168   0.0010516837  -0.0007825842   0.0039645010   0.0026434971
     124    0.0016422072   0.0010536651  -0.0013460738   0.0029882810   0.0021090781
     125    0.0011480683  -0.0001270648  -0.0009946535   0.0021427219   0.0014360049
     126    0.0005326199  -0.0007317195  -0.0013761036   0.0019087235   0.0012937046
     127    0.0003542062  -0.0001915484  -0.0014461335   0.0018003396   0.0012299341
     128    0.0009507740  -0.0001413581  -0.0013387274   0.0022895014   0.0015257419
     129    0.0005893918  -0.0004869219  -0.0012584954   0.0018478872   0.0012365805
     130    0.0000519441  -0.0005700283  -0.0013744587   0.0014264028   0.0009528194
     131    0.0006742298  -0.0002245273  -0.0010083503   0.0016825801   0.0011217614
     132    0.0015114118   0.0003125583  -0.0020125801   0.0035239920   0.0023872218
     133    0.0028440090   0.0009057480  -0.0004224132   0.0032664221   0.0021886191
     134    0.0018771527   0.0004590962  -0.0005525927   0.0024297454   0.0016261602
     135    0.0012036215   0.0003700665  -0.0006966470   0.0019002685   0.0012690807
     136    0.0006976656  -0.0000898159  -0.0006283929   0.0013260585   0.0008885570
     137    0.0002383815  -0.0002835011  -0.0008321543   0.0010705358   0.0007132368
     138   -0.0000725494  -0.0002944262  -0.0004538407   0.0003812913   0.0002551397
     139    0.0004339080  -0.0003458185  -0.0007405443   0.0011744523   0.0007962784
     140    0.0004024434  -0.0005448706  -0.0008642634   0.0012667069   0.0008777260
     141    0.0003926862  -0.0004628294  -0.0008101432   0.0012028294   0.0008247884
     142    0.0007345336  -0.0000763418  -0.0008270999   0.0015616336   0.0010405757
     143    0.0012739364   0.0001592138  -0.0012406410   0.0025145774   0.0016787305
     144    0.0010635626   0.0000566832  -0.0007039349   0.0017674975   0.0011812632
     145    0.0009716152  -0.0001147925  -0.0005380559   0.0015096711   0.0010375410
     146    0.0010008759  -0.0003090505  -0.0006187611   0.0016196370   0.0011454892
     147    0.0008721007  -0.0005610088  -0.0006574126   0.0015295133   0.0011412786
     148    0.0007922656  -0.0006352255  -0.0007775100   0.0015697756   0.0011566851
     149    0.0005235228  -0.0004587257  -0.0007912406   0.0013147634   0.0009108129
     150    0.0002530987  -0.0005379860  -0.0007550624   0.0010081611   0.0007069658
     151    0.0002586845  -0.0005334366  -0.0009115097   0.0011701942   0.0007956519
     152    0.0003292441  -0.0004276747  -0.0006479195   0.0009771636   0.0006829025
     153    0.0003137737  -0.0001931941  -0.0005511533   0.0008649270   0.0005790345
     154    0.0003402376  -0.0002110616  -0.0003927502   0.0007329878   0.0005085693
     155    0.0008439984  -0.0004078397  -0.0009503054   0.0017943038   0.0012260600
     156    0.0007528261  -0.0002759529  -0.0007512691   0.0015040952   0.0010243506
     157    0.0009923873  -0.0006712949  -0.0008254316   0.0018178189   0.0013429701
     158    0.0010441904  -0.0009271655  -0.0012622726   0.0023064630   0.0016603907
     159    0.0009111906  -0.0006509229  -0.0014676825   0.0023788731   0.0016104625
     160    0.0008736933  -0.0007110316  -0.0014236097   0.0022973030   0.0015667327
     161    0.0008016577  -0.0010585628  -0.0013318814   0.0021335391   0.0015468151
     162    0.0005256218  -0.0008513023  -0.0009721792   0.0014978010   0.0011085919
     163    0.0004184345  -0.0004688295  -0.0006974789   0.0011159134   0.0007853655
     164    0.0001915830  -0.0002469080  -0.0008420153   0.0010335983   0.0006911855
     165    0.0003143080  -0.0006213073  -0.0014513825   0.0017656906   0.0011769563
     166    0.0014093912   0.0001062259  -0.0008320323   0.0022414234   0.0014997581
     167    0.0007334482   0.0000196140  -0.0007536295   0.0014870776   0.0009909150
     168    0.0008980978  -0.0006203040  -0.0009991549   0.0018972527   0.0013377363
     169    0.0010044035  -0.0010314559  -0.0013832736   0.0023876770   0.0017174273
     170    0.0008760329  -0.0009189802  -0.0015891656   0.0024651984   0.0016982782
     171    0.0009355677  -0.0010126884  -0.0017179249   0.0026534926   0.0018311961
     172    0.0012570307  -0.0012286059  -0.0017409512   0.0029979819   0.0021365226
     173    0.0009483425  -0.0006235325  -0.0013179706   0.0022663131   0.0015470157
     174    0.0005778959  -0.0003355908  -0.0007137005   0.0012915964   0.0008847234
     175    0.0003034308  -0.0001905519  -0.0006138692   0.0009173000   0.0006116850
     176    0.0003770432  -0.0001402696  -0.0009621646   0.0013392078   0.0008998030
     177    0.0013157529   0.0002448024  -0.0000587292   0.0013744821   0.0009620410
     178    0.0005901244   0.0000166165  -0.0006303773   0.0012205018   0.0008135569
     179    0.0007884175  -0.0006082237  -0.0011652489   0.0019536664   0.0013409456
     180    0.0010689511  -0.0009654116  -0.0011260734   0.0021950244   0.0016302045
     181    0.0009744565  -0.0008608854  -0.0011381376   0.0021125941   0.0015296287
     182    0.0009453662  -0.0010562327  -0.0013263034   0.0022716696   0.0016533827
     183    0.0012703142  -0.0008770319  -0.0016445623   0.0029148765   0.0020130273
     184    0.0012059066  -0.0004816075  -0.0012900135   0.0024959202   0.0016967461
     185    0.0006561828  -0.0002279974  -0.0008864540   0.0015426367   0.0010313241
     186    0.0002237030  -0.0000681025  -0.0004934710   0.0007171740   0.0004805160
     187    0.0003356496   0.0001364732  -0.0002717561   0.0006074057   0.0004125488
     188    0.0006601711   0.0006450236  -0.0004793771   0.0011395481   0.0008708080
     189    0.0004899854   0.0001076729  -0.0006995475   0.0011895330   0.0008091116
     190    0.0005987510  -0.0004449280  -0.0009878868   0.0015866377   0.0010743774
     191    0.0010196425  -0.0007145343  -0.0010031458   0.0020227883   0.0014577216
     192    0.0014389766  -0.0007645354  -0.0011977819   0.0026367585   0.0018838824
     193    0.0014781965  -0.0008880726  -0.0014026972   0.0028808938   0.0020470514
     194    0.0013350008  -0.0006125246  -0.0014995072   0.0028345080   0.0019318285
     195    0.0011896647  -0.0004280909  -0.0011949783   0.0023846430   0.0016219438
     196    0.0007253151  -0.0002802553  -0.0008377087   0.0015630238   0.0010554129
     197    0.0006112488  -0.0001706461  -0.0005141540   0.0011254028   0.0007684398
     198    0.0008876194  -0.0000275419  -0.0002773327   0.0011649521   0.0008171659
     199    0.0008397526   0.0004330344  -0.0012597666   0.0020995192   0.0014835365
     200    0.0007347271  -0.0001444909  -0.0007710341   0.0015057612   0.0010077947
     201    0.0007678898  -0.0004533309  -0.0006154070   0.0013832968   0.0010075395
     202    0.0009871655  -0.0004835625  -0.0007775080   0.0017646735   0.0012596982
     203    0.0014031241  -0.0005493681  -0.0012230698   0.0026261939   0.0018173225
     204    0.0014375064  -0.0007442386  -0.0015289658   0.0029664722   0.0020479291
     205    0.0010603438  -0.0007536477  -0.0015177499   0.0025780937   0.0017642894
     206    0.0006935490  -0.0005677992  -0.0012797422   0.0019732912   0.0013314294
     207    0.0006324963  -0.0005725742  -0.0008966802   0.0015291766   0.0010735691
     208    0.0008811196  -0.0003844647  -0.0006721560   0.0015532757   0.0011009860
     209    0.0015425716   0.0000064903  -0.0005957739   0.0021383455   0.0014690887
     210    0.0006503381   0.0000114001  -0.0008234726   0.0014738107   0.0009847013
     211    0.0005845256  -0.0002857071  -0.0004530112   0.0010375367   0.0007421738
     212    0.0006771813  -0.0003073690  -0.0006279363   0.0013051176   0.0009061647
     213    0.0007057646  -0.0004562374  -0.0006026813   0.0013084459   0.0009551674
     214    0.0007147884  -0.0003674205  -0.0006964886   0.0014112770   0.0009837683
     215    0.0005416145  -0.0004416696  -0.0009876754   0.0015292899   0.0010325612
     216   -0.0000208160  -0.0004785742  -0.0010361307   0.0010153147   0.0006774639
     217    0.0000763926  -0.0007215122  -0.0009060529   0.0009824454   0.0006956981
     218    0.0006458914  -0.0005733936  -0.0011189898   0.0017648812   0.0012039306
     219    0.0010344413  -0.0002839730  -0.0014067083   0.0024411496   0.0016279695
     220    0.0017110715  -0.0005211178  -0.0017304071   0.0034414785   0.0023261330
     221    0.0012716659  -0.0000562210  -0.0014944470   0.0027661129   0.0018431994
     222    0.0008977826   0.0001518561  -0.0010399915   0.0019377740   0.0013022369
     223    0.0005172627  -0.0001435397  -0.0007922345   0.0013094972   0.0008723646
     224    0.0002550822  -0.0003683487  -0.0007307285   0.0009858107   0.0006643518
     225    0.0002263731  -0.0001509589  -0.0006981481   0.0009245212   0.0006193466
     226    0.0002113939  -0.0002545283  -0.0005087751   0.0007201690   0.0004866162
     227    0.0002771538  -0.0004367373  -0.0006752626   0.0009524163   0.0006602921
     228    0.0004752477  -0.0004343363  -0.0009205861   0.0013958338   0.0009440148
     229    0.0007327593  -0.0000223545  -0.0010841414   0.0018169007   0.0012161045
     230    0.0010717188   0.0002322995  -0.0012305885   0.0023023073   0.0015523684
     231    0.0017174118   0.0001192138  -0.0014741017   0.0031915135   0.0021261022
     232    0.0022646387   0.0001503342  -0.0031110295   0.0053756682   0.0036082001
     233    0.0016795451   0.0003299872  -0.0018822550   0.0035618001   0.0023958632
     234    0.0009209659  -0.0001019611  -0.0012193510   0.0021403169   0.0014262850
     235    0.0002622834  -0.0005115072  -0.0009431666   0.0012054499   0.0008137486
     236    0.0004734900  -0.0003459465  -0.0006571884   0.0011306784   0.0007781752
     237    0.0002682073   0.0000057913  -0.0005890582   0.0008572655   0.0005852255
     238    0.0011739659  -0.0003911699  -0.0006773772   0.0018513431   0.0013277908
     239    0.0013847338  -0.0001646931  -0.0008525436   0.0022372775   0.0015268090
     240    0.0009798136   0.0003122520  -0.0010041873   0.0019840009   0.0013450447
     241    0.0017462818   0.0007056008  -0.0008135382   0.0025598199   0.0017151844
     242    0.0031605510   0.0014634425  -0.0015852409   0.0047457919   0.0032039726
     243    0.0047197654   0.0022505296   0.0001777169   0.0045420485   0.0030296309
     244    0.0023677135   0.0016092099  -0.0002432557   0.0026109692   0.0017895254
     245    0.0013721847   0.0005004333  -0.0004721428   0.0018443275   0.0012292537
     246    0.0011911810   0.0001814280  -0.0008499549   0.0020411359   0.0013597759
     247    0.0008150109  -0.0000841016  -0.0009505577   0.0017655685   0.0011762418
     248    0.0006843522   0.0000603645  -0.0009554539   0.0016398062   0.0011027416
     249    0.0010244846  -0.0000504459  -0.0017135545   0.0027380391   0.0018379839
     250   -0.0000987237  -0.0004979313  -0.0015227606   0.0014240369   0.0009786966
     251   -0.0001995172  -0.0004614399  -0.0010728404   0.0008733233   0.0005971103
     252    0.0009883921  -0.0003357292  -0.0013015570   0.0022899490   0.0015317147
     253    0.0031142805  -0.0002761974  -0.0016377559   0.0047520363   0.0032604421
     254    0.0020372143   0.0014986442  -0.0001562649   0.0021934792   0.0015230121
     255    0.0014480026   0.0009502183  -0.0004905211   0.0019385237   0.0013413534
     256    0.0009037748   0.0006048691  -0.0006221635   0.0015259383   0.0010773957
     257    0.0005910630   0.0003431997  -0.0007830691   0.0013741320   0.0009757650
     258    0.0005125329  -0.0000575373  -0.0008263725   0.0013389054   0.0008952133
     259    0.0004036460  -0.0001523197  -0.0006001390   0.0010037849   0.0006699872
     260    0.0006914545  -0.0000918157  -0.0011927526   0.0018842071   0.0012611410
     261    0.0004689575  -0.0004324421  -0.0013450897   0.0018140472   0.0012084777
     262    0.0003249086  -0.0005037644  -0.0011943972   0.0015193058   0.0010135127
     263    0.0008495484  -0.0002562583  -0.0010640174   0.0019135658   0.0012799105
     264    0.0019175335   0.0000241248  -0.0007597177   0.0026772513   0.0018338597
     265    0.0006957242   0.0003033575  -0.0009289644   0.0016246886   0.0011295103
     266    0.0009495812   0.0001282160  -0.0007315196   0.0016811008   0.0011200018
     267    0.0009563241   0.0000232251  -0.0008089320   0.0017652562   0.0011766074
     268    0.0010167951  -0.0003735786  -0.0011062734   0.0021230685   0.0014367741
     269    0.0010051401  -0.0008077789  -0.0011045178   0.0021096579   0.0015215791
     270    0.0010400921  -0.0007687520  -0.0012995821   0.0023396743   0.0016343007
     271    0.0011836746  -0.0008552892  -0.0013097871   0.0024934617   0.0017693389
     272    0.0010646704  -0.0008622426  -0.0012362307   0.0023009010   0.0016450577
     273    0.0006698434  -0.0005279819  -0.0010822418   0.0017520853   0.0011931501
     274    0.0003787611  -0.0003471667  -0.0009333824   0.0013121436   0.0008757652
     275    0.0000733870  -0.0003705526  -0.0008331554   0.0009065424   0.0006039571
     276    0.0003946825   0.0000095344  -0.0013818035   0.0017764860   0.0012451162
     277    0.0007260470  -0.0002412516  -0.0009430650   0.0016691119   0.0011165966
     278    0.0011630358  -0.0006548257  -0.0009674467   0.0021304825   0.0015328077
     279    0.0010935394  -0.0011802446  -0.0017474871   0.0028410266   0.0020031993
     280    0.0002644406  -0.0012353997  -0.0022595766   0.0025240172   0.0016913566
     281    0.0001338058  -0.0013844211  -0.0023657869   0.0024995928   0.0016779157
     282    0.0006902160  -0.0016040945  -0.0021084302   0.0027986462   0.0019874336
     283    0.0010516010  -0.0009721534  -0.0014893753   0.0025409763   0.0017891571
     284    0.0010244226  -0.0005822622  -0.0009149136   0.0019393362   0.0013817404
     285    0.0003954718  -0.0004374223  -0.0009706087   0.0013660806   0.0009173180
     286   -0.0001238626  -0.0004895871  -0.0016397704   0.0015159078   0.0010539658
     287    0.0003739703  -0.0001263148  -0.0009748787   0.0013488490   0.0009084969
     288    0.0004593232  -0.0001646002  -0.0009076779   0.0013670011   0.0009118122
     289    0.0010702663  -0.0007798003  -0.0012494110   0.0023196773   0.0016339757
     290    0.0006523142  -0.0014552489  -0.0023537731   0.0030060872   0.0020558567
     291   -0.0005672259  -0.0017200137  -0.0028889530   0.0023217271   0.0015466853
     292   -0.0010849104  -0.0016644014  -0.0028792162   0.0017943058   0.0012200396
     293   -0.0002627637  -0.0017985074  -0.0028564826   0.0025937189   0.0017376102
     294    0.0007459713  -0.0011227376  -0.0019843052   0.0027302765   0.0018596288
     295    0.0011399835  -0.0007683683  -0.0009209919   0.0020609754   0.0015300462
     296    0.0004983074  -0.0002925104  -0.0008346380   0.0013329454   0.0008931095
     297    0.0001013515   0.0000674234  -0.0010333274   0.0011346789   0.0008600777
     298    0.0005780822  -0.0001596179  -0.0008501926   0.0014282747   0.0009516512
     299    0.0004580558  -0.0002052878  -0.0007497052   0.0012077610   0.0008058774
     300    0.0010595577  -0.0009017225  -0.0013783206   0.0024378783   0.0017215151
     301    0.0004955854  -0.0016991487  -0.0021819111   0.0026774965   0.0019013313
     302   -0.0010429631  -0.0018232750  -0.0023049387   0.0012619756   0.0008485053
     303   -0.0014982116  -0.0017066357  -0.0022851735   0.0007869619   0.0005432359
     304   -0.0006637425  -0.0016294983  -0.0027627044   0.0020989619   0.0013997550
     305    0.0006843112  -0.0013464490  -0.0021183189   0.0028026301   0.0019287996
     306    0.0010120908  -0.0006926271  -0.0011587652   0.0021708560   0.0015226071
     307    0.0003133301  -0.0001539479  -0.0006826075   0.0009959376   0.0006638870
     308    0.0006094255  -0.0003463309  -0.0005187124   0.0011281378   0.0008096826
     309    0.0007833643   0.0004880241  -0.0004779524   0.0012613167   0.0008789545
     310    0.0005992958  -0.0001355886  -0.0005927149   0.0011920107   0.0008012396
     311    0.0011424549  -0.0008523851  -0.0011163096   0.0022587645   0.0016454222
     312    0.0008446412  -0.0012710077  -0.0019717631   0.0028164044   0.0019535404
