Nodal Strains (computed using Matlab)
     NODE    EPELX          EPELY          EPELZ          EPELXY         EPELYZ         EPELXZ
      66    0.0000729266  -0.0003514896   0.0008141148   0.0000886666  -0.0004627483  -0.0002584075
      67    0.0005204512  -0.0004966944   0.0009523498  -0.0008164613   0.0011321685   0.0004119103
      68   -0.0001414591  -0.0004550819   0.0001711548  -0.0010216032   0.0009665860   0.0004377284
      69   -0.0004998280  -0.0004445267   0.0000933950  -0.0007685033   0.0007106318   0.0001354281
      70   -0.0003250852  -0.0005553107  -0.0002529984  -0.0002240353   0.0002406473  -0.0001757438
      71    0.0000179488  -0.0000473060  -0.0006369188  -0.0003234115   0.0003805341  -0.0005041647
      72    0.0003070995  -0.0002963734  -0.0007139290  -0.0008446344   0.0000977245  -0.0009036151
      73    0.0002792864  -0.0005414092  -0.0003801486  -0.0004393755  -0.0004801637  -0.0007136266
      74    0.0000542132  -0.0004704912  -0.0000513216  -0.0000883548  -0.0006806983  -0.0002974097
      75    0.0001960201  -0.0005661697  -0.0000064330   0.0003006153  -0.0006681975  -0.0002629706
      76    0.0002025647  -0.0003946308   0.0001708645   0.0009253313  -0.0009503214  -0.0006995200
      77    0.0002358921  -0.0001566361   0.0004788108   0.0011652891  -0.0008615853  -0.0013240596
      78   -0.0006672474  -0.0006292370  -0.0004679684  -0.0027064364  -0.0000074032   0.0004407207
      79   -0.0002412653  -0.0003504459  -0.0001087906  -0.0018925366   0.0004469468   0.0000359417
      80    0.0002028521  -0.0007715525   0.0000176743  -0.0010272501   0.0002648508  -0.0001357220
      81    0.0000323731  -0.0005817575  -0.0002790143   0.0000473545  -0.0002024347  -0.0006133168
      82   -0.0003269437  -0.0001469183  -0.0004077403  -0.0000167577   0.0001738537  -0.0011913715
      83   -0.0004626841  -0.0000578084  -0.0003027761  -0.0005630390   0.0006074936  -0.0014543183
      84   -0.0004933126  -0.0004243177  -0.0001378278  -0.0007085102   0.0003640326  -0.0009567241
      85   -0.0005697170  -0.0004836243   0.0000196288  -0.0003555577  -0.0001646528  -0.0005385316
      86   -0.0006244765  -0.0001423437  -0.0001975175   0.0004412213  -0.0009095194  -0.0005352454
      87   -0.0001762035   0.0004088848  -0.0001992200   0.0013396633  -0.0016596176  -0.0011605211
      88    0.0008625174   0.0006419630   0.0000063070   0.0024013718  -0.0021498947  -0.0017430881
      89   -0.0008372009   0.0003878334  -0.0004567573  -0.0018252755   0.0001435709   0.0005343379
      90    0.0002105802   0.0001746171  -0.0002344542  -0.0010825961   0.0003053787   0.0003728265
      91    0.0005289296  -0.0004551345  -0.0002040924  -0.0005409754  -0.0002932947  -0.0002328974
      92    0.0001538256  -0.0007290795  -0.0002025789  -0.0000881231  -0.0004175467  -0.0005783253
      93   -0.0004499579  -0.0002885912  -0.0000349713  -0.0001743149   0.0000283608  -0.0006367453
      94   -0.0009705159  -0.0001278531  -0.0001213547  -0.0007458330   0.0008330447  -0.0004706522
      95   -0.0012256844  -0.0003089039  -0.0000874605  -0.0007925870   0.0010485481  -0.0002622147
      96   -0.0012459212  -0.0003246649  -0.0001660240  -0.0001833063  -0.0001470625  -0.0001949059
      97   -0.0011931260   0.0003234384  -0.0003153378   0.0008150689  -0.0012270061  -0.0005298223
      98   -0.0009682212   0.0010461091  -0.0001315142   0.0019630058  -0.0016089605  -0.0012544495
      99   -0.0009997848   0.0014118174   0.0001986854   0.0025750248  -0.0016419845  -0.0021990613
     100    0.0021283485   0.0005568630  -0.0011500845  -0.0003961041   0.0000617392   0.0015830993
     101    0.0013556309   0.0003163921  -0.0005926791  -0.0004623207  -0.0007152470   0.0007743934
     102    0.0004035712  -0.0001941020  -0.0001430832  -0.0009273871  -0.0010685701   0.0003351595
     103   -0.0003087951  -0.0008672889  -0.0002299647  -0.0007691857  -0.0006585118   0.0001306142
     104   -0.0007529515  -0.0007007297   0.0000107937  -0.0006025076  -0.0000565480   0.0000774357
     105   -0.0007406065   0.0000427683   0.0001743350  -0.0008242026   0.0006049361   0.0002476646
     106   -0.0007513646  -0.0000266080  -0.0003833945  -0.0003037232   0.0009612076   0.0003656368
     107   -0.0008791435  -0.0000084361  -0.0005040720   0.0004220453  -0.0000477780   0.0002057595
     108   -0.0008004334   0.0007128982  -0.0004061589   0.0016253049  -0.0013777701  -0.0001379530
     109   -0.0011085152   0.0010892103  -0.0001481370   0.0019882282  -0.0016759779  -0.0002101504
     110   -0.0022156991   0.0013139335   0.0008780337   0.0013215230  -0.0017932337  -0.0010932809
     111    0.0037962746  -0.0004818593  -0.0032339347   0.0010175008  -0.0015772461   0.0017900182
     112    0.0018252514   0.0006351890  -0.0007487375  -0.0013036883  -0.0020920329   0.0010805868
     113    0.0003316986   0.0002234178   0.0000752906  -0.0021888822  -0.0020288630   0.0005972283
     114   -0.0007124224  -0.0013149587  -0.0004711451  -0.0014366956  -0.0008057746   0.0002912099
     115   -0.0007324928  -0.0009021137   0.0001454550  -0.0003639348  -0.0000355532   0.0005360243
     116    0.0001907187   0.0003472241   0.0001881194  -0.0000541387  -0.0002411012   0.0007774284
     117    0.0001470618   0.0004063562  -0.0009695707   0.0002479914   0.0011523137   0.0007455299
     118   -0.0002260279   0.0005291216  -0.0006053194   0.0011968247   0.0006046562   0.0007922842
     119    0.0000522863   0.0006947433  -0.0005104114   0.0017547151  -0.0016669124   0.0009375391
     120   -0.0001399098   0.0006828895   0.0002512637  -0.0001532110  -0.0020835750   0.0017058019
     121   -0.0006203843   0.0009547446   0.0031130023  -0.0042635740  -0.0020003592   0.0031309783
     122    0.0024665616   0.0022935087   0.0008954658   0.0028459980   0.0048132240   0.0019982299
     123    0.0007463357   0.0012743459   0.0014303348   0.0031490190   0.0022836219   0.0003181644
     124   -0.0005905494   0.0006632619   0.0012770861   0.0019179318   0.0011953375  -0.0011364052
     125   -0.0005253768  -0.0002876252   0.0008393519   0.0005537787   0.0004521022  -0.0014175667
     126   -0.0008092301  -0.0009042525   0.0001382793   0.0004326041   0.0004109061  -0.0014443797
     127   -0.0008081406  -0.0000200355  -0.0004552995  -0.0001908060   0.0005023215  -0.0015800617
     128   -0.0005596180   0.0007218560  -0.0006915496  -0.0002357043   0.0009838757  -0.0013355683
     129   -0.0005063698   0.0004291410  -0.0010787966  -0.0003505388   0.0008282207  -0.0005647976
     130   -0.0001774827  -0.0004276508  -0.0012874094  -0.0005042721  -0.0001372807   0.0006455861
     131    0.0001305830   0.0002265228  -0.0009157535  -0.0008024484  -0.0006098791   0.0004623024
     132    0.0008115463   0.0008120516  -0.0018122079  -0.0012509208  -0.0000882834  -0.0014450647
     133    0.0016950033   0.0010824020   0.0005499386   0.0016022586   0.0024094805   0.0010523519
     134    0.0005027057   0.0007773821   0.0005035683   0.0015935391   0.0018196653   0.0000887567
     135   -0.0002129189   0.0004646938   0.0006252662   0.0010807810   0.0012324134  -0.0003880031
     136   -0.0003483756  -0.0001961876   0.0005240200   0.0005108707   0.0007865332  -0.0001756027
     137   -0.0003167337  -0.0007358607   0.0001753207   0.0003365426   0.0004382428   0.0000945715
     138   -0.0003024702  -0.0002239620  -0.0002943842   0.0000127473   0.0003609725  -0.0000936009
     139   -0.0002380267   0.0002422692  -0.0006566973  -0.0005208998   0.0004898821  -0.0003286625
     140   -0.0001260785  -0.0000707328  -0.0008098793  -0.0008914695   0.0003647441  -0.0003608727
     141    0.0000901615  -0.0001857617  -0.0007846862  -0.0008329937  -0.0000894774  -0.0001756938
     142    0.0004664796   0.0001391034  -0.0007744911  -0.0007980765  -0.0003453515  -0.0001707387
     143    0.0010332499   0.0002966159  -0.0011373566  -0.0008907586  -0.0003387914  -0.0007538855
     144    0.0004179382   0.0001195409  -0.0001211682   0.0005026652   0.0012865497   0.0009719233
     145    0.0000814953   0.0002253185   0.0000119530   0.0007240668   0.0012815269   0.0004601584
     146   -0.0003009738   0.0002728877   0.0001011504   0.0007404794   0.0014118057   0.0002611253
     147   -0.0003761385  -0.0001320080   0.0001618259   0.0005662954   0.0012926204   0.0008082188
     148   -0.0001897411  -0.0005532955   0.0001225666   0.0003837478   0.0005854139   0.0014377566
     149   -0.0001129605  -0.0004687062  -0.0001447768   0.0000700536  -0.0000905242   0.0013043083
     150   -0.0002010454  -0.0004122243  -0.0004266800  -0.0007251679  -0.0002366708   0.0006931990
     151   -0.0002979712  -0.0003866747  -0.0005016160  -0.0011214471  -0.0003065624   0.0001821399
     152   -0.0002885309   0.0000514408  -0.0005092600  -0.0008081965  -0.0002673136  -0.0000842133
     153   -0.0000936137   0.0001600554  -0.0004970154  -0.0004992100  -0.0000976008  -0.0002398918
     154    0.0002844521  -0.0002130870  -0.0003349392  -0.0002566904  -0.0000789589  -0.0002828276
     155   -0.0003945585  -0.0003771201   0.0002575318   0.0001913175   0.0003421664   0.0016374909
     156   -0.0004131251   0.0000668859   0.0000718432   0.0004767191   0.0008481058   0.0010523523
     157   -0.0005091668   0.0001428040  -0.0001379764   0.0007615768   0.0015382541   0.0008306781
     158   -0.0007364903  -0.0002355356  -0.0001732218   0.0008069143   0.0018299582   0.0013531238
     159   -0.0007883030  -0.0004408219   0.0000217101   0.0005392883   0.0009260998   0.0020087795
     160   -0.0006750961  -0.0006990615   0.0001132095  -0.0000563030  -0.0005457401   0.0020917989
     161   -0.0006166731  -0.0009755803   0.0000034669  -0.0006026654  -0.0013418880   0.0014987523
     162   -0.0006030487  -0.0005383913  -0.0001564196  -0.0006146061  -0.0011892425   0.0008626784
     163   -0.0006153163   0.0001845474  -0.0003171050  -0.0003081349  -0.0007188669   0.0003529289
     164   -0.0006926466   0.0001546902  -0.0003593838  -0.0001255275  -0.0002851239  -0.0005005715
     165   -0.0008830274  -0.0005972791  -0.0002780753  -0.0001239932   0.0002819629  -0.0016309993
     166   -0.0006840760   0.0001269390   0.0012407219  -0.0000022816  -0.0003529221   0.0010992736
     167   -0.0006276085   0.0002482442   0.0003787970   0.0002102475   0.0006320803   0.0007555379
     168   -0.0006979769   0.0001488245  -0.0001722087   0.0003503950   0.0015989669   0.0007886128
     169   -0.0009828830  -0.0002590317  -0.0001684113   0.0005747097   0.0020667320   0.0011169766
     170   -0.0012808366  -0.0005912675   0.0002399913   0.0006264479   0.0012501220   0.0014913409
     171   -0.0013734442  -0.0009733982   0.0005517968   0.0000144479  -0.0007787097   0.0016795590
     172   -0.0011118071  -0.0010730073   0.0004722881  -0.0002876093  -0.0022193004   0.0014184408
     173   -0.0006512215  -0.0004968109   0.0001548719   0.0000046314  -0.0019864694   0.0008452880
     174   -0.0003670621   0.0000107354  -0.0001150687   0.0000531224  -0.0012448534   0.0002514822
     175   -0.0003368632   0.0000258678  -0.0001899949  -0.0001157375  -0.0007166646  -0.0004277149
     176   -0.0004103846  -0.0001989395  -0.0001160668  -0.0002759541  -0.0003696968  -0.0012326562
     177   -0.0000196971   0.0002119690   0.0013095543   0.0002054643  -0.0001463127  -0.0000709973
     178   -0.0006024431   0.0001996117   0.0003791950  -0.0001803022   0.0005728666   0.0001948572
     179   -0.0010289328   0.0001662717  -0.0001223940  -0.0003590253   0.0015041091   0.0003237046
     180   -0.0010978720  -0.0000714425   0.0001467805  -0.0000489656   0.0020500981   0.0001272461
     181   -0.0010490962  -0.0006644125   0.0006889422   0.0001967152   0.0013640548  -0.0001984279
     182   -0.0010576725  -0.0012663577   0.0008868603  -0.0000467600  -0.0006946702  -0.0001854443
     183   -0.0008793731  -0.0010533291   0.0006814221   0.0000525029  -0.0023380685   0.0001065134
     184   -0.0005105094  -0.0003486448   0.0002934398   0.0002607727  -0.0023816093   0.0001547831
     185   -0.0002255968  -0.0002117510  -0.0000209208   0.0001659400  -0.0015214643  -0.0000445950
     186   -0.0000724683  -0.0002204661  -0.0000449361  -0.0000631912  -0.0006585414  -0.0002167184
     187   -0.0000041610   0.0000868151   0.0001177127  -0.0005010392  -0.0000612967  -0.0003356420
     188    0.0002936880  -0.0000724396   0.0006045693  -0.0010066791  -0.0003930081  -0.0002854838
     189   -0.0002398376  -0.0000131689   0.0001511173  -0.0010653517   0.0004286121   0.0000484280
     190   -0.0006823515   0.0000270928  -0.0001788051  -0.0009101165   0.0011125170  -0.0000463038
     191   -0.0007761187  -0.0000755935   0.0001536746  -0.0005207204   0.0016171718  -0.0009814725
     192   -0.0005866356  -0.0005741202   0.0006374152  -0.0005051003   0.0011822489  -0.0020896778
     193   -0.0003478429  -0.0011676743   0.0007029439  -0.0004142537  -0.0003033553  -0.0023794513
     194   -0.0002387623  -0.0009924548   0.0004541862   0.0001670458  -0.0017384717  -0.0018069765
     195   -0.0002444547  -0.0002732156   0.0000842658   0.0004425321  -0.0020788228  -0.0011192517
     196   -0.0000482819  -0.0001845949  -0.0001597721   0.0005106793  -0.0013187575  -0.0006992712
     197    0.0002665901  -0.0003429476   0.0000028061   0.0004737341  -0.0005842674  -0.0006253193
     198    0.0005826157  -0.0002387785   0.0002389076   0.0003019107  -0.0002677376  -0.0008131302
     199   -0.0006946624   0.0002800268   0.0004276561  -0.0018514614  -0.0001390308  -0.0001564292
     200   -0.0001181777   0.0000763343  -0.0001389545  -0.0014764071   0.0002252237  -0.0000410383
     201    0.0002662602  -0.0001527817  -0.0004143267  -0.0011494870   0.0005258086  -0.0004670945
     202    0.0002111995  -0.0002960163  -0.0001890882  -0.0007249045   0.0008107394  -0.0014515299
     203   -0.0001054405  -0.0004352486   0.0001713752  -0.0005957698   0.0006970021  -0.0024964603
     204   -0.0002867211  -0.0007649002   0.0002159233  -0.0003610947  -0.0000106638  -0.0028909848
     205   -0.0003844887  -0.0007829093  -0.0000436559   0.0000764145  -0.0008909987  -0.0023804770
     206   -0.0004927191  -0.0002679615  -0.0003933118   0.0004282515  -0.0012486444  -0.0014836580
     207   -0.0004140553   0.0000184716  -0.0004411743   0.0008807568  -0.0008227532  -0.0009372117
     208   -0.0000176053  -0.0001291135  -0.0000287823   0.0011456495  -0.0006529233  -0.0009886952
     209    0.0005936327  -0.0002291409   0.0005887963   0.0012865199  -0.0009132201  -0.0012152179
     210   -0.0004398079   0.0003789904  -0.0001009168  -0.0010537832   0.0000912472   0.0006237551
     211    0.0000568647   0.0002292834  -0.0004403407  -0.0008630217  -0.0001119953  -0.0000166552
     212    0.0004506306  -0.0001576890  -0.0005510655  -0.0008205154  -0.0000807729  -0.0003895184
