
 PRINT EPEL NODAL SOLUTION PER NODE

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Academic Research                           
 00210476  VERSION=LINUX x64     14:07:07  JAN 31, 2019 CP=      0.836

                                                                               


 
  ***** POST1 NODAL ELASTIC STRAIN LISTING *****                               
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE       EPELX          EPELY          EPELZ          EPELXY         EPELYZ         EPELXZ  
      61    0.0005088650   0.0001085091   0.0002592076   0.0016761099  -0.0000780673   0.0009310713
      62    0.0005662290   0.0001509577  -0.0001137779   0.0019595821  -0.0002472304  -0.0006669006
      63   -0.0003239695   0.0001859701   0.0007606978   0.0008784954   0.0016556507   0.0006206807
      64   -0.0004293202   0.0007617066   0.0000100392   0.0001005600   0.0007936858  -0.0014799140
      65   -0.0003866970   0.0003245446   0.0000762836  -0.0009914348  -0.0000027308  -0.0004770208
      66    0.0012911887  -0.0001584486   0.0003198938  -0.0015893758   0.0001882266  -0.0016194362
      67    0.0010439387   0.0003121593   0.0002908996  -0.0005570383   0.0004756844   0.0000320602
      68    0.0015223983   0.0001740593   0.0002850543   0.0006453927   0.0002762593  -0.0011730466
      69    0.0017370864   0.0001248383   0.0001948024   0.0010890130   0.0003050616  -0.0006818587
      70    0.0011676407   0.0001702732   0.0003170813   0.0015313904  -0.0000726699   0.0009476901
      71    0.0007376303   0.0001466726   0.0001948943   0.0008024724   0.0003555425   0.0004261422
      72    0.0001682856   0.0004454949   0.0000624225   0.0001869868  -0.0002096759   0.0000605459
      73    0.0002374747   0.0001953434  -0.0000121775   0.0001592254  -0.0005527458  -0.0000172613
      74    0.0002945451  -0.0002702993  -0.0001336679   0.0004688617   0.0007315585  -0.0006427492
      75   -0.0004475064  -0.0002120907   0.0003237709   0.0008862174   0.0008907251  -0.0003971008
      76   -0.0002868483   0.0006037706  -0.0002987206   0.0006907126   0.0007303305  -0.0010989421
      77   -0.0003949956   0.0006211618  -0.0002578035  -0.0003794093  -0.0000084251  -0.0006495625
      78   -0.0007026028   0.0000096507   0.0004695367  -0.0001127727  -0.0001753778  -0.0009978502
      79   -0.0002162450   0.0004490404   0.0003364850  -0.0005181913   0.0007897983  -0.0007719380
      80    0.0005836139   0.0002034932  -0.0000015360   0.0000249812   0.0002232472  -0.0004917664
      81    0.0004669822   0.0008429064  -0.0000654848   0.0006500226   0.0004232303  -0.0006224789
      82    0.0000549491   0.0008581078   0.0002187463   0.0009429627   0.0003477187  -0.0007923054
      83    0.0003342573   0.0008645803  -0.0007400331   0.0009380008   0.0002107183  -0.0007242197
      84   -0.0004371171   0.0002459802   0.0000039512   0.0003595717  -0.0003205809   0.0000554140
      85   -0.0003894421  -0.0000525715  -0.0000937411  -0.0001971689  -0.0012439094  -0.0000451105
      86   -0.0007072610  -0.0003703691   0.0006192432  -0.0008491953  -0.0006851257  -0.0001840673
      87   -0.0007764206  -0.0003568535   0.0004387786  -0.0002032018   0.0002023719  -0.0003120884
      88   -0.0003014630  -0.0000683935  -0.0002295561   0.0001416826  -0.0004458941  -0.0004055280
      89   -0.0006336735  -0.0000678660   0.0008282071   0.0001413945   0.0007486847   0.0001187094
      90   -0.0002514093   0.0003987976   0.0000450300  -0.0001978385   0.0012052872  -0.0011746741
      91   -0.0003739678   0.0006556763  -0.0003206258  -0.0010045714  -0.0001242213   0.0000150276
      92   -0.0005522971  -0.0000742316   0.0002325464   0.0011086399   0.0006279280   0.0010547072
