Nodal Strains (computed using Matlab)
     NODE    EPELX          EPELY          EPELZ          EPELXY         EPELYZ         EPELXZ
      66    0.0013446185  -0.0000734823   0.0002562615  -0.0009269758  -0.0000325050  -0.0007466068
      67    0.0013981308   0.0002336728  -0.0000744735  -0.0004943313   0.0000777093  -0.0006682301
      68    0.0017438553   0.0004253088  -0.0000714448   0.0003106243   0.0002998149  -0.0005685035
      69    0.0016585779   0.0003077222  -0.0000111950   0.0010425297   0.0001618951  -0.0003882027
      70    0.0012314678   0.0003623496  -0.0000751460   0.0013087303   0.0003906459   0.0005670977
      71    0.0008418403   0.0002072680  -0.0000343788   0.0007245788   0.0000300565   0.0005394256
      72    0.0004654164   0.0002101194  -0.0000631234   0.0001870582  -0.0002870503  -0.0000426807
      73    0.0002696837   0.0000605691  -0.0000175672   0.0000279971  -0.0004533170   0.0001749373
      74   -0.0000562392  -0.0001101057   0.0002089510   0.0006695483   0.0002867588  -0.0000520192
      75   -0.0004290872  -0.0001789456   0.0002873384   0.0010929087   0.0006414023  -0.0005273855
      76   -0.0006216437   0.0003410184   0.0000906706   0.0006525067   0.0007162524  -0.0008634712
      77   -0.0005125365   0.0004466194  -0.0001210732  -0.0000886581   0.0004058548  -0.0011270614
      78   -0.0005411951   0.0001665311  -0.0001327550  -0.0005741971  -0.0003106829  -0.0013623589
      79    0.0000978815   0.0000191604   0.0003850560  -0.0008443384   0.0004757083  -0.0005121207
      80    0.0003307518   0.0002541801   0.0001612480   0.0000470432   0.0002230764  -0.0004484722
      81    0.0005004723   0.0006927488  -0.0000491341   0.0005872534  -0.0001846117  -0.0006806665
      82    0.0004397982   0.0009449319  -0.0003518822   0.0008604611   0.0003340876  -0.0000775470
      83    0.0000095289   0.0007794674  -0.0003132886   0.0009346483   0.0003910941  -0.0000836357
      84   -0.0003600849   0.0001302067   0.0000632903   0.0005221779   0.0001308432  -0.0000563553
      85   -0.0004550711  -0.0002247742   0.0001326396  -0.0002969126  -0.0005745612   0.0002833459
      86   -0.0006871567  -0.0002452732   0.0004239555  -0.0007214935  -0.0005450129  -0.0000574244
      87   -0.0007395390  -0.0003362651   0.0006935295  -0.0002739243   0.0001184875  -0.0006119524
      88   -0.0005289195  -0.0002842257   0.0003276363   0.0003514926   0.0001752390  -0.0007500488
      89   -0.0002641593   0.0002315530   0.0001656950   0.0002607442   0.0006171582  -0.0005330419
      90   -0.0002779436   0.0003814479   0.0001274674  -0.0002671320   0.0004541225  -0.0005834350
      91   -0.0003227593   0.0001482354  -0.0003166961  -0.0008128758  -0.0001421618  -0.0007564994
      92   -0.0006282599  -0.0001742261   0.0002183564   0.0000489766   0.0004655444   0.0002991351
      93   -0.0005723011   0.0000432260   0.0003147539   0.0004059749  -0.0001372159   0.0002048407
      94   -0.0008258093   0.0007968411   0.0002497743   0.0004391410  -0.0000051299   0.0002643426
      95   -0.0012296677   0.0013775385  -0.0002281778   0.0001379349   0.0002335813  -0.0002807250
      96   -0.0013478412   0.0010192796  -0.0000122819  -0.0001079512   0.0006664453  -0.0003017788
      97   -0.0011886886   0.0000598307   0.0002923182  -0.0002964253   0.0002851456   0.0001390575
      98   -0.0010606025  -0.0006247916   0.0001680638  -0.0008272901  -0.0007832752  -0.0002254929
      99   -0.0006437701  -0.0007818904   0.0004376635  -0.0009521047  -0.0006183557  -0.0008096534
     100   -0.0000751258  -0.0006196867   0.0001575515  -0.0004477072  -0.0000367336  -0.0006001475
     101    0.0002003531  -0.0001714857   0.0002117555   0.0001714409   0.0001905614   0.0000286920
     102    0.0001654331   0.0004365566   0.0004280250   0.0002066724   0.0007380262  -0.0000188078
     103    0.0002536292   0.0004153031  -0.0000786539  -0.0001964499   0.0003361825   0.0000348880
     104    0.0004773377   0.0000528367  -0.0001747667  -0.0007615998   0.0000817164   0.0000833368
     105   -0.0006417619  -0.0002088490   0.0000492440   0.0005494459   0.0001064706   0.0010337001
     106   -0.0008566194   0.0000325268   0.0005958900   0.0002011215   0.0000525602   0.0006636696
     107   -0.0011957831   0.0004863829   0.0004141278  -0.0000998834  -0.0002560539   0.0001583824
     108   -0.0014439923   0.0013139785  -0.0001016926  -0.0005506139  -0.0000491968  -0.0000655266
     109   -0.0013412952   0.0010201880   0.0002411553  -0.0008455950   0.0007963723   0.0002343609
     110   -0.0010341647   0.0000818167   0.0001779226  -0.0009507679  -0.0000300059  -0.0002529958
     111   -0.0004606457  -0.0007108890  -0.0001403281  -0.0013385330  -0.0008653128  -0.0010482979
     112    0.0000623592  -0.0011737362  -0.0004618732  -0.0009395868  -0.0003761193  -0.0009168571
     113    0.0005593274  -0.0008438194  -0.0004430113  -0.0001955028   0.0001255428  -0.0001225024
     114    0.0007126765   0.0002455280   0.0002251381   0.0000340739   0.0004705370   0.0001989019
     115    0.0006992275   0.0008416762  -0.0000059953   0.0004736625   0.0006889388   0.0004037071
     116    0.0008092187   0.0005248274  -0.0002175868   0.0002867518   0.0005992176   0.0006950249
     117    0.0009076582  -0.0000688881   0.0001290077   0.0001120341   0.0003170834   0.0012466056
     118    0.0000629700   0.0004225403   0.0001161546   0.0004522015   0.0004520653   0.0007403596
     119   -0.0000207950   0.0000213387   0.0003022202   0.0000507598   0.0000379131   0.0003324770
     120   -0.0003524821   0.0000746703  -0.0001129702  -0.0005526774  -0.0008686935   0.0001944226
     121   -0.0008246522   0.0008572078  -0.0002855795  -0.0009224125  -0.0004333428   0.0004431611
     122   -0.0008638570   0.0007498089  -0.0000168492  -0.0008382698   0.0005984799  -0.0005643259
     123   -0.0002752830  -0.0000007229  -0.0000138858  -0.0010831124   0.0001182379  -0.0008889993
     124    0.0002436467  -0.0005708054  -0.0001801891  -0.0013797003  -0.0005521901  -0.0003146935
     125    0.0006653980  -0.0010810837  -0.0006784917  -0.0008159175  -0.0003628360  -0.0001609640
     126    0.0007057006  -0.0006847511  -0.0003177805   0.0002965510  -0.0000080471   0.0000751421
     127    0.0006791141   0.0006226059  -0.0000957817   0.0004712999   0.0001929641   0.0002206866
     128    0.0006013978   0.0012927740  -0.0006153814   0.0006051133   0.0010565779   0.0002326906
