Principal Nodal Strains (computed using Matlab)
    NODE       EPEL1          EPEL2          EPEL3          EPELINT        EPELEQV
      80    0.0004856896   0.0002848026  -0.0000373851   0.0005230748   0.0003515678
      81    0.0009837621   0.0003673809  -0.0002221982   0.0012059603   0.0008034448
      82    0.0011996567   0.0002146731  -0.0003969048   0.0015965615   0.0010732394
      83    0.0010284710  -0.0001485514  -0.0004151313   0.0014436023   0.0010234577
      84    0.0002648846   0.0000368834  -0.0004784173   0.0007433019   0.0005073476
      85    0.0003325173  -0.0003742366  -0.0005239097   0.0008564270   0.0006094352
      86    0.0005157340  -0.0001399875  -0.0009090901   0.0014248241   0.0009501811
      87    0.0007465127  -0.0003179815  -0.0008307286   0.0015772414   0.0010719318
      88    0.0004609669  -0.0001991364  -0.0007554235   0.0012163904   0.0008113101
      89    0.0005150369   0.0001058547  -0.0004938015   0.0010088384   0.0006760424
      90    0.0005935334   0.0000640729  -0.0004366667   0.0010302000   0.0006863807
      91    0.0003920815  -0.0000741606  -0.0008211747   0.0012132562   0.0008154213
      92    0.0003328504  -0.0002723233  -0.0006468793   0.0009797297   0.0006586695
      93    0.0003200263   0.0000976046  -0.0006471106   0.0009671369   0.0006748714
      94    0.0008221637   0.0002438632  -0.0008708146   0.0016929783   0.0011465298
      95    0.0013879214  -0.0002375706  -0.0012484220   0.0026363434   0.0017721006
      96    0.0011239751  -0.0001137161  -0.0013603323   0.0024843074   0.0016549830
      97    0.0003380178   0.0000213727  -0.0012071040   0.0015451218   0.0010874242
      98    0.0003166745  -0.0004825194  -0.0013716410   0.0016883155   0.0011252426
      99    0.0005741637  -0.0002457655  -0.0013408017   0.0019149654   0.0012800796
     100    0.0003661852  -0.0001981996  -0.0007201784   0.0010863636   0.0007238903
     101    0.0002513122   0.0001902500  -0.0002109489   0.0004622611   0.0003345820
     102    0.0008028829   0.0002074200   0.0000135930   0.0007892899   0.0005480259
     103    0.0004933851   0.0002250749  -0.0001323896   0.0006257747   0.0004182824
     104    0.0006886725  -0.0001134543  -0.0002240064   0.0009126789   0.0006636398
     105    0.0003748179  -0.0001977260  -0.0009746513   0.0013494693   0.0009024108
     106    0.0006508160   0.0000415055  -0.0009351315   0.0015859475   0.0010659203
     107    0.0005885037   0.0002887515  -0.0011969469   0.0017854506   0.0012738825
     108    0.0013453156  -0.0001289338  -0.0014664182   0.0028117338   0.0018738407
     109    0.0012348657   0.0001017539  -0.0014276563   0.0026625220   0.0017802384
     110    0.0002703791   0.0001591265  -0.0012152532   0.0014856323   0.0011024986
     111    0.0002455888   0.0000040562  -0.0015837092   0.0018292981   0.0013240681
