Principal Nodal Strains (computed using Matlab)
    NODE       EPEL1          EPEL2          EPEL3          EPELINT        EPELEQV
     303    0.0006984413   0.0000721988  -0.0005008618   0.0011993031   0.0007992056
     304    0.0004667692   0.0003407570  -0.0004221467   0.0008889159   0.0006408373
     305    0.0005876313   0.0004479834  -0.0004385284   0.0010261597   0.0007415018
     306    0.0009629990   0.0004950411  -0.0005133285   0.0014763275   0.0010052137
     307    0.0011468457   0.0005238129  -0.0004466457   0.0015934914   0.0010699188
     308    0.0010865912   0.0004989044  -0.0002667968   0.0013533879   0.0009041870
     309    0.0009642549   0.0003654949   0.0001831807   0.0007810742   0.0005444255
     310    0.0013309777   0.0002003472  -0.0000626390   0.0013936167   0.0009865448
     311    0.0008088588   0.0002636121  -0.0003881036   0.0011969624   0.0007984353
     312    0.0004222086  -0.0000296703  -0.0009140337   0.0013362423   0.0009055772
     313    0.0013134698   0.0001016166  -0.0004662470   0.0017797169   0.0012111965
     314    0.0010432633   0.0000266722  -0.0004910144   0.0015342776   0.0010399511
     315    0.0009132924  -0.0000820023  -0.0008688211   0.0017821135   0.0011899013
     316    0.0008551544  -0.0001654548  -0.0010042603   0.0018594147   0.0012406647
     317    0.0007085694  -0.0001289474  -0.0006900697   0.0013986392   0.0009377810
     318    0.0005867244   0.0000555508  -0.0003208829   0.0009076073   0.0006075459
     319    0.0006612299   0.0004082964  -0.0002419293   0.0009031592   0.0006207614
     320    0.0007489674   0.0005996437  -0.0002437765   0.0009927440   0.0007131885
     321    0.0006362138   0.0005894444  -0.0000203896   0.0006566035   0.0004880868
     322    0.0008678406   0.0004659105   0.0001026278   0.0007652129   0.0005099811
     323    0.0011873725   0.0002633397  -0.0001483274   0.0013356999   0.0009113681
     324    0.0007083123   0.0003113835  -0.0004500920   0.0011584043   0.0007843321
     325    0.0005377591  -0.0001054334  -0.0006731541   0.0012109132   0.0008072002
     326    0.0004286715  -0.0001346910  -0.0005505358   0.0009792073   0.0006547846
     327    0.0004787289   0.0001984192  -0.0009319756   0.0014107045   0.0009950250
     328    0.0006592596   0.0002021679  -0.0016152231   0.0022744828   0.0016029849
     329    0.0010199955  -0.0004842263  -0.0015192936   0.0025392891   0.0017012036
     330    0.0009088932  -0.0007485617  -0.0013555875   0.0022644807   0.0015617004
     331    0.0007097124  -0.0000414521  -0.0009066636   0.0016163760   0.0010776797
     332    0.0012321086   0.0000503749  -0.0004605239   0.0016926325   0.0011567293
     333    0.0008083536   0.0000140063  -0.0002057656   0.0010141192   0.0007108053
     334    0.0007061525   0.0002674476  -0.0003243635   0.0010305160   0.0006890233
     335    0.0009784674   0.0004254059  -0.0000187887   0.0009972560   0.0006656637
     336    0.0012434257   0.0004230751  -0.0003239518   0.0015673775   0.0010445259
     337    0.0008554610   0.0001737614  -0.0003623639   0.0012178249   0.0008132123
