        Node       x [um]       y [um]       z [um]       u [um]       v [um]       w [um]
          90      115.500      205.500       -9.500  -0.00187415  49.99988042   0.00234953
          91      115.500      225.500       -9.500  -0.00533024  49.99898908   0.00507063
          92      135.500      -14.500       -9.500  -0.00128553  50.00006746   0.00010041
          93      135.500        5.500       -9.500  -0.00028338  50.00081783  -0.00029366
          94      135.500       25.500       -9.500   0.00003736  50.00109186  -0.00031585
          95      135.500       45.500       -9.500   0.00029688  50.00125057  -0.00028794
          96      135.500       65.500       -9.500   0.00046609  50.00131368  -0.00022033
          97      135.500       85.500       -9.500   0.00056075  50.00131465  -0.00010287
          98      135.500      105.500       -9.500   0.00055298  50.00128203   0.00006375
          99      135.500      125.500       -9.500   0.00042966  50.00120792   0.00029401
         100      135.500      145.500       -9.500   0.00018661  50.00109340   0.00058389
         101      135.500      165.500       -9.500  -0.00019099  50.00088425   0.00092420
         102      135.500      185.500       -9.500  -0.00082773  50.00052190   0.00136269
         103      135.500      205.500       -9.500  -0.00178194  49.99996813   0.00193223
         104      135.500      225.500       -9.500  -0.00507869  49.99871661   0.00388282
         105      155.500      -14.500       -9.500  -0.00090832  49.99948844   0.00039021
         106      155.500        5.500       -9.500  -0.00020867  50.00070470   0.00003984
         107      155.500       25.500       -9.500   0.00003538  50.00101325   0.00001333
         108      155.500       45.500       -9.500   0.00025370  50.00120995   0.00001240
         109      155.500       65.500       -9.500   0.00041838  50.00129623   0.00003930
         110      155.500       85.500       -9.500   0.00053054  50.00132796   0.00010623
         111      155.500      105.500       -9.500   0.00055850  50.00132532   0.00021703
         112      155.500      125.500       -9.500   0.00047926  50.00126583   0.00037753
         113      155.500      145.500       -9.500   0.00026833  50.00115181   0.00057190
         114      155.500      165.500       -9.500  -0.00007808  50.00095075   0.00078640
         115      155.500      185.500       -9.500  -0.00063438  50.00060549   0.00101027
         116      155.500      205.500       -9.500  -0.00141479  50.00008640   0.00124809
         117      155.500      225.500       -9.500  -0.00413814  49.99847803   0.00220455
         118      175.500      -14.500       -9.500  -0.00049335  49.99841579   0.00109124
         119      175.500        5.500       -9.500  -0.00039229  50.00043564   0.00076079
         120      175.500       25.500       -9.500  -0.00026732  50.00078581   0.00070255
         121      175.500       45.500       -9.500  -0.00010828  50.00101332   0.00063880
         122      175.500       65.500       -9.500   0.00005968  50.00113613   0.00057039
         123      175.500       85.500       -9.500   0.00021847  50.00120546   0.00052548
         124      175.500      105.500       -9.500   0.00034151  50.00124469   0.00049086
         125      175.500      125.500       -9.500   0.00039606  50.00121960   0.00046693
         126      175.500      145.500       -9.500   0.00033150  50.00113292   0.00043910
         127      175.500      165.500       -9.500   0.00015651  50.00096501   0.00038341
         128      175.500      185.500       -9.500  -0.00014874  50.00066229   0.00024372
         129      175.500      205.500       -9.500  -0.00055767  50.00021408  -0.00000394
         130      175.500      225.500       -9.500  -0.00201606  49.99792095  -0.00057242
         131      195.500      -14.500       -9.500  -0.00032571  49.99562891   0.00323409
         132      195.500        5.500       -9.500  -0.00127920  49.99919415   0.00292629
         133      195.500       25.500       -9.500  -0.00157311  50.00002543   0.00280271
         134      195.500       45.500       -9.500  -0.00165662  50.00059209   0.00257697
         135      195.500       65.500       -9.500  -0.00157949  50.00093538   0.00225823
         136      195.500       85.500       -9.500  -0.00134666  50.00117157   0.00186949
         137      195.500      105.500       -9.500  -0.00097724  50.00131323   0.00137735
         138      195.500      125.500       -9.500  -0.00050145  50.00132062   0.00076393
         139      195.500      145.500       -9.500  -0.00002456  50.00119297   0.00003286
         140      195.500      165.500       -9.500   0.00045546  50.00091426  -0.00083733
         141      195.500      185.500       -9.500   0.00101506  50.00039808  -0.00197369
         142      195.500      205.500       -9.500   0.00170489  49.99959666  -0.00342516
         143      195.500      225.500       -9.500   0.00255484  49.99588501  -0.00639073
         144       -4.500      -14.500       10.500   0.00046262  49.99957512   0.00121654
         145       -4.500        5.500       10.500  -0.00105432  49.99958576   0.00051715
         146       -4.500       25.500       10.500  -0.00114091  49.99976246   0.00050426
         147       -4.500       45.500       10.500  -0.00105811  49.99987803   0.00047081
         148       -4.500       65.500       10.500  -0.00086818  49.99994827   0.00042289
         149       -4.500       85.500       10.500  -0.00068574  49.99999260   0.00037111
         150       -4.500      105.500       10.500  -0.00052268  49.99998300   0.00028950
         151       -4.500      125.500       10.500  -0.00035194  49.99992196   0.00018912
         152       -4.500      145.500       10.500  -0.00016695  49.99979552   0.00007775
         153       -4.500      165.500       10.500   0.00004946  49.99964698  -0.00003384
         154       -4.500      185.500       10.500   0.00038538  49.99947762  -0.00018143
         155       -4.500      205.500       10.500   0.00088074  49.99927201  -0.00034932
         156       -4.500      225.500       10.500   0.00375135  49.99925037   0.00013121
         157       15.500      -14.500       10.500  -0.00043178  50.00055701   0.00055927
         158       15.500        5.500       10.500  -0.00095029  50.00005522  -0.00004548
         159       15.500       25.500       10.500  -0.00074552  50.00007188  -0.00002557
         160       15.500       45.500       10.500  -0.00050638  50.00007750  -0.00001198
         161       15.500       65.500       10.500  -0.00026250  50.00007707  -0.00000287
         162       15.500       85.500       10.500  -0.00008725  50.00007236   0.00001186
         163       15.500      105.500       10.500  -0.00000180  50.00005231   0.00001897
         164       15.500      125.500       10.500   0.00000309  50.00001428   0.00003019
         165       15.500      145.500       10.500  -0.00005118  49.99995105   0.00004688
         166       15.500      165.500       10.500  -0.00013378  49.99988958   0.00007173
         167       15.500      185.500       10.500  -0.00022094  49.99984563   0.00009403
         168       15.500      205.500       10.500  -0.00030513  49.99981708   0.00011823
         169       15.500      225.500       10.500   0.00061704  50.00036359   0.00122155
         170       35.500      -14.500       10.500  -0.00090283  50.00075060   0.00050404
         171       35.500        5.500       10.500  -0.00089528  50.00006751  -0.00003969
         172       35.500       25.500       10.500  -0.00070468  50.00007231  -0.00002740
         173       35.500       45.500       10.500  -0.00047624  50.00007177  -0.00001989
         174       35.500       65.500       10.500  -0.00025041  50.00005969  -0.00001432
         175       35.500       85.500       10.500  -0.00008030  50.00004899  -0.00000396
         176       35.500      105.500       10.500   0.00000644  50.00002947   0.00000336
         177       35.500      125.500       10.500   0.00001624  49.99999547   0.00002194
         178       35.500      145.500       10.500  -0.00002845  49.99995530   0.00004872
         179       35.500      165.500       10.500  -0.00009275  49.99991284   0.00008449
         180       35.500      185.500       10.500  -0.00015572  49.99988537   0.00011459
         181       35.500      205.500       10.500  -0.00020853  49.99987065   0.00014356
         182       35.500      225.500       10.500  -0.00030683  50.00061946   0.00153756
         183       55.500      -14.500       10.500  -0.00111839  50.00075128   0.00048394
         184       55.500        5.500       10.500  -0.00084054  50.00007545  -0.00001915
         185       55.500       25.500       10.500  -0.00066505  50.00007451  -0.00001637
         186       55.500       45.500       10.500  -0.00044610  50.00006761  -0.00001936
         187       55.500       65.500       10.500  -0.00022770  50.00005613  -0.00002433
         188       55.500       85.500       10.500  -0.00005597  50.00003890  -0.00002183
         189       55.500      105.500       10.500   0.00003978  50.00001923  -0.00001412
         190       55.500      125.500       10.500   0.00005783  49.99999653   0.00001271
         191       55.500      145.500       10.500   0.00002392  49.99997575   0.00005475
         192       55.500      165.500       10.500  -0.00001512  49.99995069   0.00010143
         193       55.500      185.500       10.500  -0.00004917  49.99993765   0.00014369
         194       55.500      205.500       10.500  -0.00007388  49.99992629   0.00018030
         195       55.500      225.500       10.500  -0.00073015  50.00066306   0.00168123
         196       75.500      -14.500       10.500  -0.00124552  50.00066792   0.00045447
         197       75.500        5.500       10.500  -0.00076671  50.00007646  -0.00000552
         198       75.500       25.500       10.500  -0.00060705  50.00007736  -0.00001007
         199       75.500       45.500       10.500  -0.00040026  50.00007673  -0.00001894
         200       75.500       65.500       10.500  -0.00018694  50.00006862  -0.00002987
         201       75.500       85.500       10.500  -0.00000917  50.00005099  -0.00003149
         202       75.500      105.500       10.500   0.00009867  50.00003881  -0.00002153
         203       75.500      125.500       10.500   0.00013122  50.00002649   0.00001311
         204       75.500      145.500       10.500   0.00011758  50.00001885   0.00006601
         205       75.500      165.500       10.500   0.00010185  50.00000939   0.00012444
         206       75.500      185.500       10.500   0.00008580  49.99999861   0.00017604
         207       75.500      205.500       10.500   0.00008232  49.99998744   0.00021470
         208       75.500      225.500       10.500  -0.00104234  50.00062825   0.00174904
         209       95.500      -14.500       10.500  -0.00127155  50.00050639   0.00042880
         210       95.500        5.500       10.500  -0.00066712  50.00008611   0.00001200
         211       95.500       25.500       10.500  -0.00052666  50.00008763   0.00000167
         212       95.500       45.500       10.500  -0.00033466  50.00009332  -0.00001045
         213       95.500       65.500       10.500  -0.00012878  50.00009169  -0.00002302
         214       95.500       85.500       10.500   0.00005873  50.00008875  -0.00002720
         215       95.500      105.500       10.500   0.00018161  50.00007955  -0.00001468
         216       95.500      125.500       10.500   0.00023291  50.00008297   0.00002849
         217       95.500      145.500       10.500   0.00024626  50.00008377   0.00009025
         218       95.500      165.500       10.500   0.00024575  50.00008211   0.00015890
         219       95.500      185.500       10.500   0.00024086  50.00006717   0.00021860
         220       95.500      205.500       10.500   0.00024774  50.00005270   0.00025960
         221       95.500      225.500       10.500  -0.00121130  50.00050948   0.00172817
         222      115.500      -14.500       10.500  -0.00116934  50.00023591   0.00038767
         223      115.500        5.500       10.500  -0.00055144  50.00010485   0.00001446
         224      115.500       25.500       10.500  -0.00042384  50.00010986   0.00000639
         225      115.500       45.500       10.500  -0.00024025  50.00011735  -0.00000433
         226      115.500       65.500       10.500  -0.00003927  50.00012476  -0.00001564
         227      115.500       85.500       10.500   0.00014827  50.00012586  -0.00001182
         228      115.500      105.500       10.500   0.00028155  50.00013368   0.00001007
         229      115.500      125.500       10.500   0.00035371  50.00014271   0.00006098
         230      115.500      145.500       10.500   0.00038317  50.00015228   0.00013235
         231      115.500      165.500       10.500   0.00039508  50.00015217   0.00020561
         232      115.500      185.500       10.500   0.00038726  50.00014049   0.00027042
         233      115.500      205.500       10.500   0.00038052  50.00012515   0.00031893
         234      115.500      225.500       10.500  -0.00118245  50.00027312   0.00158060
         235      135.500      -14.500       10.500  -0.00099537  49.99990051   0.00035141
         236      135.500        5.500       10.500  -0.00043691  50.00012076   0.00001872
         237      135.500       25.500       10.500  -0.00031695  50.00013323   0.00001453
         238      135.500       45.500       10.500  -0.00013633  50.00014868   0.00000972
         239      135.500       65.500       10.500   0.00005842  50.00016835   0.00000368
         240      135.500       85.500       10.500   0.00024559  50.00018384   0.00001638
         241      135.500      105.500       10.500   0.00039194  50.00020324   0.00004736
         242      135.500      125.500       10.500   0.00048202  50.00021649   0.00010607
         243      135.500      145.500       10.500   0.00052317  50.00023003   0.00018191
         244      135.500      165.500       10.500   0.00053332  50.00022282   0.00025802
         245      135.500      185.500       10.500   0.00051406  50.00020584   0.00032422
