Nodal Strains (computed using Matlab)
     NODE    EPELX          EPELY          EPELZ          EPELXY         EPELYZ         EPELXZ
      35   -0.0000021953  -0.0000056910  -0.0000313554   0.0000096414  -0.0000133612   0.0000120804
      36   -0.0000136002  -0.0000059951  -0.0000577176   0.0000114062  -0.0000006122   0.0000072369
      37   -0.0000305211  -0.0000064716  -0.0000969733   0.0000154927   0.0000167034  -0.0000075264
      38   -0.0000725563   0.0000080040  -0.0001570252   0.0000312092   0.0000841902  -0.0000328509
      39   -0.0001115571   0.0000386954  -0.0002270263   0.0000340943   0.0001953798  -0.0000511448
      40    0.0000019642  -0.0000480217   0.0000239995   0.0000274475  -0.0001118564   0.0000451498
      41    0.0000117075  -0.0000146119   0.0000310955   0.0000223277  -0.0000824370   0.0000329768
      42    0.0000168601   0.0000004051   0.0000370215   0.0000206232  -0.0000664916   0.0000198227
      43    0.0000160330  -0.0000007883   0.0000360699   0.0000223399  -0.0000633640   0.0000097034
      44    0.0000136573  -0.0000019933   0.0000296144   0.0000203866  -0.0000591911   0.0000025644
      45    0.0000108296  -0.0000030200   0.0000192010   0.0000153304  -0.0000539868  -0.0000007887
      46    0.0000080599  -0.0000041095   0.0000054683   0.0000088641  -0.0000469172   0.0000005612
      47    0.0000052409  -0.0000050977  -0.0000119221   0.0000033888  -0.0000373375   0.0000067125
      48    0.0000019539  -0.0000061258  -0.0000343975   0.0000008456  -0.0000250621   0.0000163166
      49   -0.0000033642  -0.0000077895  -0.0000658315   0.0000000574  -0.0000075382   0.0000274856
      50   -0.0000136408  -0.0000105118  -0.0001124852  -0.0000017320   0.0000181569   0.0000391661
      51   -0.0000423451  -0.0000005641  -0.0001838185  -0.0000226979   0.0001051520   0.0000548918
      52   -0.0000755606   0.0000251644  -0.0002630074  -0.0000699530   0.0002384895   0.0000780752
      53    0.0000041661  -0.0000330402   0.0000341825   0.0000457768  -0.0000974115   0.0000360750
      54    0.0000104407  -0.0000075329   0.0000394984   0.0000280763  -0.0000788052   0.0000182454
      55    0.0000131593   0.0000027792   0.0000428714   0.0000186192  -0.0000711093   0.0000013441
      56    0.0000118928   0.0000005540   0.0000400224   0.0000186142  -0.0000716368  -0.0000082859
      57    0.0000099453  -0.0000014704   0.0000321283   0.0000162981  -0.0000691705  -0.0000121544
      58    0.0000080899  -0.0000027592   0.0000206552   0.0000118318  -0.0000643683  -0.0000111211
      59    0.0000066566  -0.0000037933   0.0000062106   0.0000060202  -0.0000570742  -0.0000054194
      60    0.0000056940  -0.0000046659  -0.0000116270   0.0000009802  -0.0000469971   0.0000048008
      61    0.0000045693  -0.0000060335  -0.0000345309  -0.0000021767  -0.0000337187   0.0000193466
      62    0.0000015390  -0.0000089571  -0.0000668295  -0.0000059819  -0.0000136282   0.0000392809
      63   -0.0000054813  -0.0000136382  -0.0001153471  -0.0000130538   0.0000172810   0.0000678879
      64   -0.0000264367  -0.0000097249  -0.0001901439  -0.0000602217   0.0001150460   0.0001122265
      65   -0.0000524184   0.0000069824  -0.0002716780  -0.0001451393   0.0002593966   0.0001636806
      66    0.0000088143  -0.0000130324   0.0000368043   0.0000546935  -0.0000825406   0.0000286865
      67    0.0000108873   0.0000010781   0.0000402837   0.0000301073  -0.0000731289   0.0000079290
      68    0.0000110553   0.0000049092   0.0000419161   0.0000166870  -0.0000725501  -0.0000104584
      69    0.0000097320   0.0000018501   0.0000382464   0.0000156759  -0.0000764138  -0.0000191538
      70    0.0000082480  -0.0000006677   0.0000301710   0.0000133223  -0.0000755906  -0.0000204620
      71    0.0000070031  -0.0000021664   0.0000189094   0.0000094831  -0.0000713183  -0.0000161681
      72    0.0000062914  -0.0000031892   0.0000049656   0.0000044669  -0.0000641055  -0.0000075016
      73    0.0000060473  -0.0000041481  -0.0000120845  -0.0000001052  -0.0000540328   0.0000051655
      74    0.0000055693  -0.0000059030  -0.0000338932  -0.0000040801  -0.0000404824   0.0000225841
      75    0.0000037022  -0.0000099121  -0.0000645864  -0.0000102929  -0.0000193301   0.0000476963
      76   -0.0000006893  -0.0000158310  -0.0001106408  -0.0000207239   0.0000140668   0.0000864662
      77   -0.0000129285  -0.0000192072  -0.0001814745  -0.0000854352   0.0001143717   0.0001464735
      78   -0.0000268834  -0.0000144263  -0.0002580229  -0.0001966818   0.0002584863   0.0002125484
      79    0.0000131755   0.0000130775   0.0000320534   0.0000522337  -0.0000679173   0.0000217162
      80    0.0000108621   0.0000114020   0.0000342507   0.0000277386  -0.0000661784   0.0000014551
      81    0.0000087038   0.0000066894   0.0000351058   0.0000144389  -0.0000715740  -0.0000161272
      82    0.0000074762   0.0000031001   0.0000316549   0.0000132073  -0.0000784073  -0.0000236199
      83    0.0000064639   0.0000003023   0.0000244456   0.0000110559  -0.0000791532  -0.0000233264
      84    0.0000057966  -0.0000013445   0.0000144298   0.0000078578  -0.0000755591  -0.0000173040
      85    0.0000056164  -0.0000024724   0.0000019453   0.0000034918  -0.0000686881  -0.0000070607
      86    0.0000056084  -0.0000036924  -0.0000134496  -0.0000010234  -0.0000588751   0.0000070627
      87    0.0000052968  -0.0000058954  -0.0000330035  -0.0000057729  -0.0000456419   0.0000261053
      88    0.0000043185  -0.0000105367  -0.0000598322  -0.0000133131  -0.0000248770   0.0000535151
      89    0.0000025463  -0.0000170066  -0.0000990560  -0.0000249276   0.0000083609   0.0000959330
      90   -0.0000003272  -0.0000290383  -0.0001582487  -0.0000962687   0.0001023315   0.0001590330
      91   -0.0000014822  -0.0000399547  -0.0002214082  -0.0002168683   0.0002332921   0.0002256778
      92    0.0000146328   0.0000435158   0.0000182136   0.0000401426  -0.0000534263   0.0000173031
      93    0.0000088272   0.0000228604   0.0000197237   0.0000208932  -0.0000577100   0.0000006325
      94    0.0000044650   0.0000082772   0.0000207508   0.0000111393  -0.0000678882  -0.0000137259
      95    0.0000029718   0.0000044195   0.0000185965   0.0000105199  -0.0000772576  -0.0000196580
