Principal Nodal Strains (computed using Matlab)
    NODE       EPEL1          EPEL2          EPEL3          EPELINT        EPELEQV
      80    0.0000590346   0.0000146839  -0.0000172036   0.0000762382   0.0000510136
      81    0.0000615791   0.0000066104  -0.0000176904   0.0000792695   0.0000541085
      82    0.0000624008   0.0000042379  -0.0000244076   0.0000868084   0.0000589333
      83    0.0000569324   0.0000034672  -0.0000291879   0.0000861203   0.0000579267
      84    0.0000471820   0.0000039084  -0.0000322085   0.0000793905   0.0000529594
      85    0.0000346413   0.0000051590  -0.0000347110   0.0000693523   0.0000463731
      86    0.0000217146   0.0000052886  -0.0000385369   0.0000602515   0.0000414983
      87    0.0000159543  -0.0000016634  -0.0000478930   0.0000638472   0.0000439339
      88    0.0000180146  -0.0000130361  -0.0000710288   0.0000890434   0.0000602166
      89    0.0000240953  -0.0000187761  -0.0001188355   0.0001429309   0.0000977242
      90    0.0000439989  -0.0000167025  -0.0002149106   0.0002589095   0.0001804049
      91    0.0000900997  -0.0000085276  -0.0003444173   0.0004345170   0.0003035072
      92    0.0000638762   0.0000244634  -0.0000119774   0.0000758535   0.0000505445
      93    0.0000514901   0.0000104959  -0.0000105748   0.0000620649   0.0000420501
      94    0.0000507152   0.0000027767  -0.0000199989   0.0000707140   0.0000480917
      95    0.0000531600   0.0000007658  -0.0000279381   0.0000810982   0.0000547884
      96    0.0000498490   0.0000004155  -0.0000329429   0.0000827919   0.0000554992
      97    0.0000427211   0.0000013548  -0.0000357133   0.0000784344   0.0000522770
      98    0.0000329682   0.0000030407  -0.0000379628   0.0000709310   0.0000474440
      99    0.0000228268   0.0000035062  -0.0000412749   0.0000641017   0.0000438113
     100    0.0000185294  -0.0000024006  -0.0000484152   0.0000669446   0.0000456284
     101    0.0000216216  -0.0000134243  -0.0000648035   0.0000864251   0.0000579158
     102    0.0000303548  -0.0000196890  -0.0001000123   0.0001303671   0.0000876245
     103    0.0000546783  -0.0000242723  -0.0001753381   0.0002300164   0.0001557209
     104    0.0000962901  -0.0000182103  -0.0002843025   0.0003805926   0.0002601582
     105    0.0000852314   0.0000188781  -0.0000186550   0.0001038864   0.0000700885
     106    0.0000462074   0.0000058706  -0.0000210928   0.0000673002   0.0000451277
     107    0.0000320406  -0.0000037123  -0.0000301220   0.0000621626   0.0000415667
     108    0.0000355117  -0.0000060822  -0.0000366871   0.0000721988   0.0000482822
     109    0.0000353053  -0.0000064057  -0.0000404095   0.0000757149   0.0000505262
     110    0.0000327674  -0.0000050556  -0.0000419677   0.0000747351   0.0000497878
     111    0.0000283068  -0.0000025184  -0.0000430026   0.0000713094   0.0000476495
     112    0.0000232586  -0.0000004746  -0.0000441198   0.0000673785   0.0000455344
     113    0.0000211499  -0.0000025267  -0.0000458617   0.0000670115   0.0000452771
     114    0.0000248229  -0.0000108641  -0.0000494951   0.0000743180   0.0000495216
     115    0.0000350468  -0.0000191320  -0.0000606521   0.0000956989   0.0000639377
     116    0.0000619991  -0.0000299364  -0.0001052406   0.0001672397   0.0001115941
     117    0.0001021008  -0.0000239750  -0.0001930922   0.0002951930   0.0001973453
     118    0.0001545095   0.0000125980  -0.0000828674   0.0002373769   0.0001591400
     119    0.0000729114  -0.0000047850  -0.0000882018   0.0001611131   0.0001073518
     120    0.0000272863  -0.0000175678  -0.0000895095   0.0001167958   0.0000785007
     121    0.0000243867  -0.0000214195  -0.0000897502   0.0001141368   0.0000765269
     122    0.0000230253  -0.0000223347  -0.0000871117   0.0001101370   0.0000737494
     123    0.0000227337  -0.0000208001  -0.0000807313   0.0001034649   0.0000692135
     124    0.0000225070  -0.0000178830  -0.0000704324   0.0000929394   0.0000620901
     125    0.0000224668  -0.0000136594  -0.0000566037   0.0000790704   0.0000527399
     126    0.0000232084  -0.0000063783  -0.0000417274   0.0000649358   0.0000433153
     127    0.0000256221   0.0000083172  -0.0000307521   0.0000563743   0.0000384766
     128    0.0000351652   0.0000318082  -0.0000263444   0.0000615096   0.0000460782
     129    0.0000873336   0.0000508725  -0.0000777987   0.0001651323   0.0001155824
     130    0.0001485997   0.0000731341  -0.0001733634   0.0003219631   0.0002243441
     131    0.0002769922  -0.0000011239  -0.0001989878   0.0004759800   0.0003185840
     132    0.0001106520  -0.0000167706  -0.0001866672   0.0002973191   0.0001987386
     133    0.0000284516  -0.0000261307  -0.0001898696   0.0002183212   0.0001513781
     134    0.0000262069  -0.0000256087  -0.0001874749   0.0002136818   0.0001485088
     135    0.0000193743  -0.0000248728  -0.0001781452   0.0001975195   0.0001381023
     136    0.0000172336  -0.0000224249  -0.0001593687   0.0001766024   0.0001234547
     137    0.0000176035  -0.0000199725  -0.0001296938   0.0001472973   0.0001019734
     138    0.0000219476  -0.0000188787  -0.0000893030   0.0001112507   0.0000749814
     139    0.0000360247  -0.0000175262  -0.0000453058   0.0000813306   0.0000550795
     140    0.0000739808   0.0000039269  -0.0000316403   0.0001056211   0.0000716013
     141    0.0001471047   0.0000298428  -0.0000378126   0.0001849173   0.0001246558
     142    0.0002605090   0.0000624337  -0.0001023849   0.0003628939   0.0002420884
     143    0.0004433330   0.0001089978  -0.0002639367   0.0007072697   0.0004713981
     144    0.0000137984  -0.0000341525  -0.0000756116   0.0000894100   0.0000596148
     145    0.0000185515   0.0000024965  -0.0000524286   0.0000709801   0.0000495922
     146    0.0000558661  -0.0000024606  -0.0000397786   0.0000956447   0.0000642262
     147    0.0000684825  -0.0000032058  -0.0000333232   0.0001018056   0.0000696794
     148    0.0000710384  -0.0000031606  -0.0000274979   0.0000985362   0.0000683863
     149    0.0000655282  -0.0000030622  -0.0000218020   0.0000873302   0.0000612551
     150    0.0000533255  -0.0000042777  -0.0000158229   0.0000691484   0.0000493536
     151    0.0000352351  -0.0000040176  -0.0000130347   0.0000482698   0.0000341943
     152    0.0000165535   0.0000021173  -0.0000223495   0.0000389030   0.0000262017
     153    0.0000145190   0.0000039188  -0.0000513776   0.0000658966   0.0000471445
     154    0.0000267752  -0.0000000525  -0.0001007880   0.0001275632   0.0000896075
     155    0.0000530459   0.0000068549  -0.0002003819   0.0002534279   0.0001798309
     156    0.0000815651   0.0000228906  -0.0003040599   0.0003856249   0.0002768407
